Codename,rel_year,Producer,Name,core,clock,Socket,Process (nm),L3 Cache,TDP (W),rel_date
Allendale,2006,1,1,1,1,1,1,0,1,1
Allendale,2007,7,7,7,7,7,7,0,7,7
Allendale,2008,5,5,5,5,5,5,0,5,5
Allendale,2009,1,1,1,1,1,1,0,1,1
Arrandale,2010,17,17,17,17,17,17,17,17,17
Arrandale,2011,4,4,4,4,4,4,4,4,4
Banias,2003,5,5,5,5,5,5,0,5,5
Bay Trail,2013,13,13,13,13,13,13,0,13,13
Bay Trail,2014,6,6,6,6,6,6,0,6,6
Bloomfield,2008,3,3,3,3,3,3,3,3,3
Bloomfield,2009,11,11,11,11,11,11,11,11,11
Bloomfield,2010,2,2,2,2,2,2,2,2,2
Broadwell,2014,7,7,7,7,7,7,7,7,7
Broadwell,2015,20,20,20,20,20,20,20,20,20
Broadwell,2016,4,4,4,4,4,4,4,4,4
Cannon Lake,2018,1,1,1,1,1,1,1,1,1
Cascade Lake,2018,9,9,9,9,9,9,9,9,9
Cascade Lake,2019,8,8,8,8,8,8,8,8,8
Cascade Lake,2020,1,1,1,1,1,1,1,1,0
Cedar Mill,2006,5,5,5,5,5,5,0,5,5
Cedarview,2011,5,5,5,5,5,5,0,5,5
Centerton,2012,3,3,3,3,3,3,0,3,3
Clarkdale,2010,13,13,13,13,13,13,13,13,13
Clarkdale,2011,1,1,1,1,1,1,1,1,1
Clovertrail,2013,3,3,3,3,3,3,0,3,3
Cloverview,2012,1,1,1,1,1,1,0,1,1
Coffee Lake,2017,6,6,6,6,6,6,5,6,6
Coffee Lake,2018,44,44,44,44,44,44,44,44,44
Coffee Lake,2019,22,22,22,22,22,22,22,22,22
Comet Lake,2019,8,8,8,8,8,8,8,8,8
Comet Lake,2020,36,36,36,36,36,36,36,36,36
Comet Lake,2021,11,11,11,11,11,11,11,11,11
Conroe,2006,5,5,5,5,5,5,0,5,5
Conroe,2007,9,9,9,9,9,9,0,9,9
Conroe,2008,2,2,2,2,2,2,0,2,2
Cooper Lake,2021,15,15,15,15,15,15,15,15,15
Coppermine,2000,1,1,1,1,1,1,0,1,1
Coppermine,2001,5,5,5,5,5,5,0,5,5
Cranford,2005,4,4,4,4,4,4,0,4,4
Crystalwell,2013,10,10,10,10,10,10,10,10,10
Crystalwell,2014,6,6,6,6,6,6,6,6,6
Dempsey,2006,6,6,6,6,6,6,0,6,6
Diamondville,2008,4,4,4,4,4,4,0,4,4
Dothan,2004,6,6,6,6,6,6,0,6,6
Dothan,2005,6,6,6,6,6,6,0,6,6
Gainestown,2009,16,16,16,16,16,16,16,16,16
Gainestown,2010,2,2,2,2,2,2,2,2,2
Gallatin,2003,4,4,4,4,4,4,4,4,4
Gallatin,2004,4,4,4,4,4,4,4,4,4
Gladden,2012,2,2,2,2,2,2,2,2,2
Gulftown,2010,4,4,4,4,4,4,4,4,4
Gulftown,2011,3,3,3,3,3,3,3,3,3
Haswell,2013,88,88,88,88,88,88,88,88,88
Haswell,2014,33,33,33,33,33,33,33,33,33
Haswell,2015,12,12,12,12,12,12,12,12,12
Ice Lake,2019,11,11,11,11,11,11,11,11,11
Ice Lake,2021,40,40,40,40,40,40,40,40,40
Irwindale,2005,4,4,4,4,4,4,0,4,4
Ivy Bridge,2012,91,91,91,91,91,91,91,91,91
Ivy Bridge,2013,66,66,66,66,66,66,66,66,66
Jasper Forest,2010,1,1,1,1,1,1,1,1,1
Kaby Lake,2017,37,37,37,37,37,37,37,37,37
Kaby Lake,2018,9,9,9,9,9,9,9,9,9
Kentsfield,2006,1,1,1,1,1,1,0,1,1
Kentsfield,2007,5,5,5,5,5,5,0,5,5
Knights Corner,2012,6,6,6,6,6,6,0,6,6
Knights Corner,2013,6,6,6,6,6,6,0,6,6
Knights Corner,2014,2,2,2,2,2,2,0,2,2
Knights Ferry,2010,1,1,1,1,1,1,0,1,1
Knights Landing,2016,8,8,8,8,8,8,0,8,8
Knights Mill,2017,3,3,3,3,3,3,0,3,3
Lincroft,2010,7,7,7,7,7,7,0,7,7
Lincroft,2011,2,2,2,2,2,2,0,2,2
Lynnfield,2009,3,3,3,3,3,3,3,3,3
Lynnfield,2010,6,6,6,6,6,6,6,6,6
Merom,2006,8,8,8,8,8,8,0,8,8
Merom,2007,12,12,12,12,12,12,0,12,12
Merom,2008,2,2,2,2,2,2,0,2,2
Nocona,2004,5,5,5,5,5,5,0,5,5
Northwood,2001,1,1,1,1,1,1,0,1,1
Northwood,2002,21,21,21,21,21,21,0,21,21
Northwood,2003,22,22,22,22,22,22,0,22,22
Northwood,2004,1,1,1,1,1,1,0,1,1
Paxville,2005,6,6,6,6,6,6,0,6,6
Penryn,2008,3,3,3,3,3,3,0,3,3
Penryn,2009,6,6,6,6,6,6,0,6,6
Penryn,2010,1,1,1,1,1,1,0,1,1
Penryn-L,2008,1,1,1,1,1,1,0,1,1
Penwell,2012,1,1,1,1,1,1,0,1,1
Penwell,2013,2,2,2,2,2,2,0,2,2
Pineview,2009,2,2,2,2,2,2,0,2,2
Pineview,2010,7,7,7,7,7,7,0,7,7
Pineview,2011,1,1,1,1,1,1,0,1,1
Potomac,2005,8,8,8,8,8,8,8,8,8
Prescott,2001,8,8,8,8,8,8,0,8,8
Prescott,2004,30,30,30,30,30,30,0,30,30
Prescott,2005,25,25,25,25,25,25,0,25,25
Presler,2006,10,10,10,10,10,10,0,10,10
Presler,2007,1,1,1,1,1,1,0,1,1
Prestonia,2002,4,4,4,4,4,4,0,4,4
Prestonia,2003,1,1,1,1,1,1,0,1,1
Rocket Lake,2021,29,29,29,29,29,29,29,29,29
Sandy Bridge,2011,112,112,112,112,112,112,112,112,112
Sandy Bridge,2012,79,79,79,79,79,79,79,79,79
Sandy Bridge,2013,2,2,2,2,2,2,2,2,2
Silverthorne,2008,5,5,5,5,5,5,0,5,5
Silverthorne,2009,6,6,6,6,6,6,0,6,6
Silverthorne,2010,1,1,1,1,1,1,0,1,1
Skylake,2015,17,17,17,17,17,17,17,17,17
Skylake,2016,1,1,1,1,1,1,1,1,1
Skylake,2017,13,13,13,13,13,13,13,13,13
Skylake,2018,9,9,9,9,9,9,9,9,9
Smithfield,2005,5,5,5,5,5,5,0,5,5
Sodaville,2009,3,3,3,3,3,3,0,3,3
Stealey,2007,2,2,2,2,2,2,0,2,2
Stellarton,2010,6,6,6,6,6,6,0,6,6
Tiger Lake,2020,10,10,10,10,10,10,10,10,10
Tiger Lake,2021,13,13,13,13,13,13,13,13,12
Tualatin,2001,8,8,8,8,8,8,0,8,8
Tualatin,2002,1,1,1,1,1,1,0,1,1
Tulsa,2006,8,8,8,8,8,8,8,8,8
Tunnel Creek,2010,8,8,8,8,8,8,0,8,8
Westmere,2010,15,15,15,15,15,15,15,15,15
Westmere,2011,13,13,13,13,13,13,13,13,13
Whiskey Lake,2018,3,3,3,3,3,3,3,3,3
Willamette,2000,2,2,2,2,2,2,0,2,2
Willamette,2001,13,13,13,13,13,13,0,13,13
Wolfdale,2008,11,11,11,11,11,11,0,11,11
Wolfdale,2009,9,9,9,9,9,9,0,9,9
Wolfdale,2010,8,8,8,8,8,8,0,8,8
Woodcrest,2006,7,7,7,7,7,7,0,7,7
Yonah,2005,1,1,1,1,1,1,0,1,1
Yonah,2006,18,18,18,18,18,18,0,18,18
Yorkfield,2007,1,1,1,1,1,1,0,1,1
Yorkfield,2008,9,9,9,9,9,9,0,9,9
Yorkfield,2009,6,6,6,6,6,6,0,6,6
