,Test Mean Absolute Error (Lower is better),Architecture,Algorithm
0,0.9400761845206728,westmere,LR
1,0.9195133922135285,westmere,LR
2,0.9224844916857599,westmere,LR
3,0.932612489541416,westmere,LR
4,0.9455773958661478,westmere,LR
5,0.931740155114314,westmere,LR
6,0.9636801694017032,westmere,LR
7,0.9318436532986648,westmere,LR
8,0.9411967367365327,westmere,LR
9,0.9240149921566939,westmere,LR
10,0.9554105360277573,westmere,LR
11,0.9513790730331156,westmere,LR
12,0.9016806583681531,westmere,LR
13,0.9276196479833019,westmere,LR
14,0.9358802639620655,westmere,LR
15,0.9500686319703977,westmere,LR
16,0.9397102321165701,westmere,LR
17,0.9336141814741322,westmere,LR
18,0.9177963656244654,westmere,LR
19,0.9358236279733971,westmere,LR
20,0.997116275809362,westmere,LR
21,0.997606106630696,westmere,LR
22,1.0004274881315436,westmere,LR
23,0.9986405767233076,westmere,LR
24,0.9963023104508644,westmere,LR
25,1.0027280478686218,westmere,LR
26,0.9924096299338231,westmere,LR
27,0.9933278125777715,westmere,LR
28,0.998609161476817,westmere,LR
29,0.9987230852885102,westmere,LR
30,0.9940780174452568,westmere,LR
31,0.9972970075250106,westmere,LR
32,0.9943905961425746,westmere,LR
33,0.9945518785758597,westmere,LR
34,0.992237402523168,westmere,LR
35,0.9936514817148359,westmere,LR
36,0.9960603303625541,westmere,LR
37,0.9958084087390215,westmere,LR
38,1.0050916791548608,westmere,LR
39,0.9925209905778459,westmere,LR
40,0.9922000177274917,westmere,LR
41,0.9945507272209735,westmere,LR
42,0.9967642122153104,westmere,LR
43,0.9936245762505929,westmere,LR
44,0.9984500038580777,westmere,LR
45,0.9939948725572697,westmere,LR
46,0.9917364451384898,westmere,LR
47,0.9883528393704126,westmere,LR
48,0.997805288641485,westmere,LR
49,0.9960322075490844,westmere,LR
50,0.99042687600308,westmere,LR
51,0.9960749382604647,westmere,LR
52,0.998848102500364,westmere,LR
53,1.0014119223260751,westmere,LR
54,1.0010788897289102,westmere,LR
55,0.9916789568278872,westmere,LR
56,0.999029522271456,westmere,LR
57,0.9968688075601235,westmere,LR
58,0.9918050970287166,westmere,LR
59,0.9914577247104442,westmere,LR
60,0.9808010825788973,westmere,LR
61,0.9935274913475785,westmere,LR
62,0.9801376480953817,westmere,LR
63,0.9699429904706878,westmere,LR
64,0.9827500105729569,westmere,LR
65,0.9762839087305452,westmere,LR
66,0.9800008257855403,westmere,LR
67,0.9827933629570615,westmere,LR
68,0.9750938864550154,westmere,LR
69,0.9914423544756813,westmere,LR
70,0.9968131715334927,westmere,LR
71,0.9910497824205879,westmere,LR
72,0.9822466648115714,westmere,LR
73,0.9731400859073525,westmere,LR
74,0.9824845275006796,westmere,LR
75,0.9814625892802321,westmere,LR
76,0.9847992843380217,westmere,LR
77,0.9783675226482703,westmere,LR
78,0.9822694253652412,westmere,LR
79,0.9845240776607425,westmere,LR
80,0.9839452826549256,westmere,LR
81,0.9874468654350672,westmere,LR
82,0.985278734908989,westmere,LR
83,0.9879105144132123,westmere,LR
84,0.9836584865152896,westmere,LR
85,0.9916002611423518,westmere,LR
86,0.9886393877564184,westmere,LR
87,0.9842281588595252,westmere,LR
88,0.993927351980024,westmere,LR
89,0.9908474807638963,westmere,LR
90,0.9896385073776224,westmere,LR
91,0.9864220988508248,westmere,LR
92,0.9844953042635959,westmere,LR
93,0.9789864789037532,westmere,LR
94,0.9921251003398115,westmere,LR
95,0.9877099013689274,westmere,LR
96,0.9787963230489508,westmere,LR
97,1.0022179504716162,westmere,LR
98,0.9865279946067637,westmere,LR
99,0.9887664481419505,westmere,LR
100,0.9887084866906826,westmere,LR
101,0.9898105383158919,westmere,LR
102,0.9914949751481269,westmere,LR
103,0.9861529546548422,westmere,LR
104,0.9947812548639163,westmere,LR
105,0.9925189634746354,westmere,LR
106,0.9950537065871533,westmere,LR
107,0.9915940069856608,westmere,LR
108,0.9907864392782364,westmere,LR
109,1.0029791866638742,westmere,LR
110,0.9844552663340979,westmere,LR
111,0.9938751075484109,westmere,LR
112,0.9919953620129293,westmere,LR
113,0.9960718931882041,westmere,LR
114,0.9963485722719944,westmere,LR
115,0.9941170164975563,westmere,LR
116,0.9947270082392665,westmere,LR
117,0.9886687891916008,westmere,LR
118,0.9919812430148562,westmere,LR
119,0.9930128304847325,westmere,LR
120,0.9876632778440454,westmere,LR
121,0.9930270696938994,westmere,LR
122,0.9849116478582217,westmere,LR
123,0.9824790378917696,westmere,LR
124,0.9789534127306182,westmere,LR
125,0.9947317612399957,westmere,LR
126,0.9993901980847033,westmere,LR
127,0.9798761760156353,westmere,LR
128,0.9855270792881882,westmere,LR
129,0.9771128596295239,westmere,LR
130,0.9789887634290191,westmere,LR
131,0.9853260835318479,westmere,LR
132,0.9799419787378107,westmere,LR
133,0.9868349371733951,westmere,LR
134,0.9875818468028698,westmere,LR
135,0.987868349677727,westmere,LR
136,0.9932820023063308,westmere,LR
137,0.9820137013282298,westmere,LR
138,0.9734542571192253,westmere,LR
139,0.9901594983375447,westmere,LR
140,0.9624767594488299,westmere,LR
141,0.9468662599389671,westmere,LR
142,0.9286903859210982,westmere,LR
143,0.9559245540871044,westmere,LR
144,0.9601480345912062,westmere,LR
145,0.9434901465859807,westmere,LR
146,0.9652576803037074,westmere,LR
147,0.9681877141091954,westmere,LR
148,0.9510512412327551,westmere,LR
149,0.9249011991887146,westmere,LR
150,0.9467470375146602,westmere,LR
151,0.9586103828131652,westmere,LR
152,0.9390529076801513,westmere,LR
153,0.9520395850969711,westmere,LR
154,0.9479589876452984,westmere,LR
155,0.9673837718356754,westmere,LR
156,0.9432626080464244,westmere,LR
157,0.9494129417094513,westmere,LR
158,0.9447839727323436,westmere,LR
159,0.9543966431568183,westmere,LR
160,0.9780899889057659,westmere,LR
161,0.9710526146265038,westmere,LR
162,0.9731075759466052,westmere,LR
163,0.9862610920409975,westmere,LR
164,0.9888643051196367,westmere,LR
165,0.9762540015380924,westmere,LR
166,0.9841069266135919,westmere,LR
167,0.9958497650118646,westmere,LR
168,0.9643698771478455,westmere,LR
169,0.9731248990265862,westmere,LR
