,uarch,chip type,launch date,processor number,cache,bus speed,instruction set extensions,instruction set,max memory size,memory types,# of memory channels,max memory bandwidth,ecc memory supported,processor graphics,graphics base frequency,graphics max dynamic frequency,graphics video max memory,# of d isplays supported,graphics and imc lithography,pci express revision,pci express lanes,lithography,# of cores,# of threads,base frequency,turbo frequency,tdp-up frequency,tdp-up,tdp-down frequency,t dp-down,tdp,turbo boost technology,vpro,hyper-threading,(vt-x),(vt-d),tsx-ni,idle states,speedstep,thermal mo nitoring,identity protection,aes new instructions,secure key,trusted execution,execute disable bit,anti-theft,price
0,merom,server,Q2'06,5148,4 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2.33 GHz,0,0,0,0,0,40 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,549.00
1,merom,server,Q2'06,5138,4 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2.13 GHz,0,0,0,0,0,35 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,494.00
2,merom,server,0,5133,4 MB L2,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2.2 GHz,0,0,0,0,0,40 W,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
3,merom,server,Q2'06,5128,4 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,1.86 GHz,0,0,0,0,0,40 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
4,merom,server,0,5113,4 MB L2,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,1.6 GHz,0,0,0,0,0,40 W,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
5,merom,server,2006,5160,4 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,3 GHz,0,0,0,0,0,80 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
6,merom,server,2006,5150,4 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2.66 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
7,merom,server,Q2'06,5140,4 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2.33 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,478.00
8,merom,server,Q2'06,5130,4 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
9,merom,server,2006,5120,4 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,1.86 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
10,merom,server,2006,5110,4 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,1.6 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
11,merom,embedded,Q2'06,5148,4 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2.33 GHz,0,0,0,0,0,40 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,549.00
12,merom,embedded,Q2'06,5138,4 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2.13 GHz,0,0,0,0,0,35 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,494.00
13,merom,embedded,Q2'06,5128,4 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,1.86 GHz,0,0,0,0,0,40 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
14,merom,embedded,Q2'06,5140,4 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2.33 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,478.00
15,merom,embedded,Q2'06,5130,4 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,2,2,2 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
16,merom,server,Q3'07,X5365,8 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,3 GHz,0,0,0,0,0,150 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
17,merom,server,Q4'06,X5355,8 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.66 GHz,0,0,0,0,0,120 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
18,merom,server,Q3'07,L5335,8 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2 GHz,0,0,0,0,0,50 W,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
19,merom,server,Q1'07,L5320,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,1.86 GHz,0,0,0,0,0,50 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
20,merom,server,Q1'07,L5318,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,1.6 GHz,0,0,0,0,0,40 W,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
21,merom,server,Q1'07,L5310,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,1.6 GHz,0,0,0,0,0,50 W,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
22,merom,server,Q1'07,E5345,8 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.33 GHz,0,0,0,0,0,80 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
23,merom,server,Q1'07,E5335,8 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2 GHz,0,0,0,0,0,80 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
24,merom,server,Q4'06,E5320,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,1.86 GHz,0,0,0,0,0,80 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
25,merom,server,Q4'06,E5310,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,1.6 GHz,0,0,0,0,0,80 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
26,merom,embedded,Q1'07,L5318,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,1.6 GHz,0,0,0,0,0,40 W,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
27,merom,embedded,Q1'07,E5345,8 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.33 GHz,0,0,0,0,0,80 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
28,merom,embedded,Q1'07,E5335,8 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2 GHz,0,0,0,0,0,80 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
29,merom,desktop,Q4'06,QX6700,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.66 GHz,0,0,0,0,0,130 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
30,merom,desktop,Q2'07,QX6800,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.93 GHz,0,0,0,0,0,130 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
31,merom,desktop,Q3'07,QX6850,8 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,3 GHz,0,0,0,0,0,130 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
32,merom,desktop,Q1'07,Q6600,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.4 GHz,0,0,0,0,0,105 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
33,merom,desktop,Q3'07,Q6700,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.66 GHz,0,0,0,0,0,105 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
34,merom,server,Q3'07,X3230,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.66 GHz,0,0,0,0,0,95 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
35,merom,server,Q1'07,X3220,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.4 GHz,0,0,0,0,0,105 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
36,merom,server,Q1'07,X3210,8 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65 nm,4,4,2.13 GHz,0,0,0,0,0,105 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
37,penryn,desktop,Q3'08,E5200,2 MB L2,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.5 GHz,0,0,0,0,0,65 W,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,72.00
38,penryn,desktop,Q1'08,E5300,2 MB L2,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.6 GHz,0,0,0,0,0,65 W,0,0,0,See Ordering Info,0,0,1,1,1,0,0,0,0,1,0,67
39,penryn,desktop,Q1'09,E5400,2 MB L2,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.7 GHz,0,0,0,0,0,65 W,0,0,0,See Ordering Info,0,0,1,1,1,0,0,0,0,1,0,67.00
40,penryn,desktop,Q2'10,E5500,2 MB SmartCache,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.8 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,72.00
41,penryn,desktop,Q3'10,E5700,2 MB SmartCache,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,64.00
42,penryn,desktop,Q4'10,E5800,2 MB,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3.2 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,72.00
43,penryn,desktop,Q2'09,E6300,2 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.8 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,77.00
44,penryn,desktop,Q1'08,E6500,2 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.93 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,71.5
45,penryn,desktop,Q3'09,E6500K,2 MB,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.93 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
46,penryn,desktop,Q1'10,E6600,2 MB SmartCache,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3.06 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,75.00
47,penryn,desktop,Q2'10,E6700,2 MB SmartCache,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3.2 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
48,penryn,desktop,Q3'10,E6800,2 MB SmartCache,1066 MHz FSB,"SSE2, SSE3, SSSE3",64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3.33 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,93.00
49,penryn,desktop,Q3'09,E3200,1 MB L2,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.4 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,47.00
50,penryn,desktop,Q3'09,E3300,1 MB L2,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.5 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,47.00
51,penryn,desktop,Q1'10,E3400,1 MB SmartCache,800 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.6 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,42.00
52,penryn,desktop,Q3'10,E3500,1 MB SmartCache,800 MHz FSB,"SSE2, SSE3, SSSE3",64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.7 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,52.00
53,penryn,desktop,Q2'08,E7200,3 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.53 GHz,0,0,0,0,0,65 W,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
54,penryn,desktop,Q3'08,E7300,3 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.66 GHz,0,0,0,0,0,65 W,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,117.00
55,penryn,desktop,Q1'08,E7400,3 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.8 GHz,0,0,0,0,0,65 W,0,0,0,See Ordering Info,0,0,1,1,1,0,0,0,0,1,0,117.5
56,penryn,desktop,Q1'09,E7500,3 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.93 GHz,0,0,0,0,0,65 W,0,0,0,See Ordering Info,0,0,1,1,1,0,0,0,0,1,0,125.00
57,penryn,desktop,Q2'09,E7600,3 MB L2,1066 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3.06 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,147.00
58,penryn,desktop,Q3'08,E8600,6 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3.33 GHz,0,0,0,0,0,65 W,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,285.00
59,penryn,desktop,Q1'08,E8500,6 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3.16 GHz,0,0,0,0,0,65 W,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,200.00
60,penryn,desktop,Q1'08,E8400,6 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3 GHz,0,0,0,0,0,65 W,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,164
61,penryn,desktop,Q2'08,E8300,6 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.83 GHz,0,0,0,0,0,65 W,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0
62,penryn,desktop,Q1'08,E8200,6 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.66 GHz,0,0,0,0,0,65 W,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0
63,penryn,desktop,Q1'08,E8190,6 MB L2,1333 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,2.66 GHz,0,0,0,0,0,65 W,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
64,penryn,server,Q4'07,X5272,6 MB L2,1600 MHz FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45 nm,2,2,3.4 GHz,0,0,0,0,0,80 W,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
