id,architecture,cpuop-mode,byteorder,cpu,on-linecpulist,threadpercore,corepersocket,socket,numanode,vendorid,cpufamily,model,stepping,frequencyboost,cpumhz,cpumaxmhz,cpuminmhz,bogomips,virtualization,l1dcache,l1icache,l2cache,l3cache,numanode0cpu,vulnerabilityitlbmultihit,vulnerabilityl1tf,vulnerabilitymds,vulnerabilitymeltdown,vulnerabilityspecstorebypass,vulnerabilityspectrev1,vulnerabilityspectrev2,vulnerabilitysrbds,vulnerabilitytsxasyncabort,flags,numanode1cpu,addresssize,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
AMDRyzenThreadripper3960X24-Core,x86_64,32-bit.64-bit,LittleEndian,48,0-47,2,24,1,1,AuthenticAMD,23,49,0,enabled,2200,6635.1558,2200,7600.29,AMD-V,768,768,12000,128000,0-47,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;FullAMDretpoline.IBPBconditional.STIBPconditional.RSBfilling,Notaffected,Notaffected,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatessbdmbaibpbstibpvmmcallfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrrdpruwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmcasmesevsev_es,,43-48,,,
IntelCorei7870,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,30,5,,1197,,,5851.77,VT-x,32,32,256,8192,0-7,,,,,,,,,,,,,,,,,
2xAMDOpteron23xx,x86_64,32-bit.64-bit,LittleEndian,2,0.1,1,1,2,1,AuthenticAMD,15,6,1,,2300.08,,,4600.16,,64,64,512,,0.1,,,,,,,,,,,,,,,,,
IntelXeonD-2191,x86_64,32-bit.64-bit,LittleEndian,36,0-35,2,18,1,1,GenuineIntel,6,85,4,,800,1601,800,3192.47,VT-x,32,32,1024,25344,0-35,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperfpnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbcat_l3cdp_l3intel_ppinintel_pttpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptshwphwp_act_windowhwp_epphwp_pkg_reqpkuospke,,,,,,,
AMDRyzen5PRO4650G,x86_64,32-bit.64-bit,LittleEndian,12,,2,6,,1,AuthenticAMD,23,96,,enabled,1400,4307.0308,1400,7385.96,AMD-V,192,192,3000,8000,,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;FullAMDretpoline.IBPBconditional.IBRS_FW.STIBPconditional.RSBfilling,Notaffected,Notaffected,,,48-48,,,
ARMv7Cortex-A534-Core,armv7l,,LittleEndian,4,0-3,1,4,1,,ARM,,4,,,,1400,600,89.6,,,,,,,,,,,,,,,,halfthumbfastmultvfpedspneonvfpv3tlsvfpv4idivaidivtvfpd32lpaeevtstrmcrc32,,,,,,,
AMDRyzen52500UwithRadeonVegaMobileGfx,x86_64,,LittleEndian,8,,,,,,,23,17,,,1817.359,2000,1600,3992.66,AMD-V,32,64,512,4096,0-7,,,,,,,,,,,,,,,,,
AMDPhenom9950,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,AuthenticAMD,16,2,3,,3200.088,,,6401.56,AMD-V,64,64,512,2048,0-3,,,,,,,,,,,,,,,,,
IntelCore2QuadQ8300,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,GenuineIntel,6,23,10,,2003,,,4987.45,VT-x,32,32,2048,,0-3,,,,,,,,,,,,,,,,,
IntelCorei7-3740QM,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,58,,,1200,,,5387.39,VT-x,32,32,256,6144,0-7,,,,,,,,,,,,,,,,,
AMDC-60APU,x86_64,32-bit.64-bit,LittleEndian,2,0.1,1,2,1,1,AuthenticAMD,20,2,0,,1000,,,1995.02,AMD-V,32,32,512,,0.1,,,,,,,,,,,,,,,,,
IntelXeonD-1521,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,86,3,,2299.951,2700,800,4799.85,VT-x,32,32,256,6144,0-7,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbintel_pttpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmrdseedadxsmapxsaveoptcqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnpts,,,,,,,
IntelCeleron1037U,x86_64,32-bit.64-bit,LittleEndian,2,0.1,1,2,1,1,GenuineIntel,6,58,9,,1800,1800,800,3591.86,VT-x,32,32,256,2048,0.1,,,,,,,,,,,,,,,,,
IntelCorei5520M,x86_64,32-bit.64-bit,LittleEndian,4,0-3,2,2,1,1,GenuineIntel,6,37,2,,2394.091,,,4787.9,VT-x,32,32,256,3072,0-3,,,,,,,,,,,,,,,,,
AmpereeMAGARMv832-Core,aarch64,,LittleEndian,32,0-31,1,32,1,,,,1,,,,3000,375,100,,,,,,,,,,,,,,,,fpasimdevtstrmaespmullsha1sha2crc32cpuid,,,,,,,
IntelXeonGold6248,x86_64,32-bit.64-bit,LittleEndian,40,0-39,2,20,1,1,GenuineIntel,6,85,7,,1001.385,2501,1000,5000,VT-x,32,32,1024,28160,0-39,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperfpnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcntaesxsaveavxf16crdrandlahf_lmabm3dnowprefetchcpuid_faultepbcat_l3cdp_l3invpcid_singleintel_ppinssbdmbaibrsibpbstibptpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbintel_ptavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptspkuospkeavx512_vnniarch_capabilities,,,,,,,
2xAMDOpteron6172,x86_64,64-bit,,24,,1,12,,4,AuthenticAMD,16,9,1,,800,,,,AMD-V,64,64,512,5118,,,,,,,,,,,,,,,,,,
IntelCorei7-6700,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,94,3,,3699.89,,,6816.61,VT-x,32,32,256,8192,0-7,,,,,,,,,,,,,,,,,
2xIntelXeonE5-2660v4,x86_64,32-bit.64-bit,LittleEndian,56,0-55,2,14,2,2,GenuineIntel,6,79,1,,1723.281,,,3996.13,VT-x,32,32,256,35840,0-13.28-41,,,,,,,,,,,14-27.42-55,,,,,,
AMDOpteron4386,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,AuthenticAMD,21,2,0,,1400,,,6199.85,AMD-V,16,64,2048,8192,0-7,,,,,,,,,,,,,,,,,
IntelCorei5-3380M,x86_64,32-bit.64-bit,LittleEndian,4,0-3,2,2,1,1,GenuineIntel,6,58,,,2900,,,5786.68,VT-x,32,32,256,3072,0-3,,,,,,,,,,,,,,,,,
4xAMDOpteron6378,x86_64,32-bit.64-bit,LittleEndian,64,0-63,2,8,4,8,AuthenticAMD,21,2,0,,2400,,,4799.5,AMD-V,16,64,2048,6144,0-7,,,,,,,,,,,8-15,,,,,,
IntelCore2DuoT9600,x86_64,32-bit.64-bit,LittleEndian,2,0.1,1,2,1,1,GenuineIntel,6,23,10,,2801,,,5585.96,VT-x,32,32,6144,,0.1,,,,,,,,,,,,,,,,,
AMDRyzen75700U,x86_64,32-bit.64-bit,LittleEndian,16,0-15,2,8,1,1,AuthenticAMD,23,104,1,enabled,1400,4369.9209,1400,3593.14,AMD-V,256,256,4000,8000,0-15,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;FullAMDretpoline.IBPBconditional.IBRS_FW.STIBPconditional.RSBfilling,Notaffected,Notaffected,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatessbdmbaibrsibpbstibpvmmcallfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrrdpruwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmca,,48-48,,,
AMDGX-424CCSOC,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,AuthenticAMD,22,48,1,,1000,2400,1000,4790.7,AMD-V,32,32,2048,,0-3,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodacc_powernoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3cx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttopoextperfctr_nbbpextptscperfctr_l2hw_pstateretpolineretpoline_amdrsb_ctxswvmmcallbmi1xsaveoptaratnptlbrvsvm_locknrip_savetsc_scaleflushbyasiddecodeassistspausefilterpfthresholdoverflow_recov,,,,,,,
IntelCorei7-3820,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,45,7,,5901,,,7530.95,VT-x,32,32,256,10240,0-7,,,,,,,,,,,,,,,,,
AmpereARMv8Neoverse-N1128-Core,aarch64,32-bit.64-bit,LittleEndian,256,0-127,1,128,1,2,ARM,,1,,disabled,,3000,1000,50,,8000,8000,128000,,0-127,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctl,Mitigation,__userpointersanitization,Notaffected,Notaffected,Notaffected,fpasimdevtstrmaespmullsha1sha2crc32atomicsfphpasimdhpcpuidasimdrdmlrcpcdcpopasimddpssbs,,,,,
8xIntelXeonE5620,x86_64,64-bit,,8,,1,1,,,GenuineIntel,6,44,2,,2400.154,,,,,32,32,256,12288,,,,,,,,,,,,,,,,,,
