,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,99th,9,121804 +/- 2067
1,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,96th,3,119167 +/- 895
2,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,95th,3,118638 +/- 1791
3,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,91st,4,106306 +/- 627
4,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,88th,7,93980 +/- 7273
5,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,84th,3,84437 +/- 219
6,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,83rd,3,82821 +/- 358
7,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,80th,3,80558 +/- 509
8,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,79th,3,71217 +/- 66
9,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,77th,3,65725 +/- 194
10,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,76th,4,65288 +/- 5265
12,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,74th,4,56912 +/- 2655
13,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,71st,4,55605 +/- 397
14,/s/Intel+Core+i7-10700T,Intel Core i7-10700T,68th,3,50511 +/- 243
15,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,66th,3,43207 +/- 94
16,/s/Ampere+Altra+ARMv8+Neoverse-N1+160-Core,Ampere Altra ARMv8 Neoverse-N1 160-Core,64th,4,40857 +/- 1051
17,/s/AMD+Ryzen+9+5900HX,AMD Ryzen 9 5900HX,62nd,3,37007 +/- 361
18,/s/Intel+Xeon+E3-1270+v5,Intel Xeon E3-1270 v5,59th,4,36205 +/- 136
19,/s/AMD+Ryzen+7+4700U,AMD Ryzen 7 4700U,58th,3,33892 +/- 168
20,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,57th,3,32322 +/- 96
21,/s/Intel+Core+i7-8550U,Intel Core i7-8550U,55th,3,28561 +/- 64
22,/s/AMD+Ryzen+5+5500U,AMD Ryzen 5 5500U,53rd,3,27396 +/- 53
23,/s/AMD+Ryzen+5+4500U,AMD Ryzen 5 4500U,52nd,3,26019 +/- 111
25,/s/Intel+Xeon+E3-1235L+v5,Intel Xeon E3-1235L v5,50th,3,23867 +/- 73
