,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,100th,11,47
1,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,100th,17,48
2,/s/2+x+AMD+EPYC+7663+56-Core,2 x AMD EPYC 7663 56-Core,99th,3,51
3,/s/2+x+AMD+EPYC+7643+48-Core,2 x AMD EPYC 7643 48-Core,99th,3,51
4,/s/2+x+AMD+EPYC+7543+32-Core,2 x AMD EPYC 7543 32-Core,99th,3,51 +/- 1
5,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,98th,9,53 +/- 3
6,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,98th,5,53
7,/s/2+x+AMD+EPYC+74F3+24-Core,2 x AMD EPYC 74F3 24-Core,98th,3,54
8,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,97th,4,54
9,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,97th,30,55 +/- 2
10,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,97th,3,55
11,/s/2+x+AMD+EPYC+7542+32-Core,2 x AMD EPYC 7542 32-Core,96th,6,57
12,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,96th,10,57 +/- 1
13,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,95th,9,58
14,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,94th,56,58 +/- 2
15,/s/2+x+AMD+EPYC+7642+48-Core,2 x AMD EPYC 7642 48-Core,93rd,14,59 +/- 1
16,/s/2+x+AMD+EPYC+7552+48-Core,2 x AMD EPYC 7552 48-Core,93rd,6,59
17,/s/2+x+AMD+EPYC+7502+32-Core,2 x AMD EPYC 7502 32-Core,92nd,12,60 +/- 1
18,/s/2+x+AMD+EPYC+7532+32-Core,2 x AMD EPYC 7532 32-Core,91st,8,61 +/- 1
19,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,90th,11,63 +/- 1
20,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,90th,12,63 +/- 2
21,/s/2+x+AMD+EPYC+7402+24-Core,2 x AMD EPYC 7402 24-Core,90th,10,63
22,/s/2+x+Intel+Xeon+Gold+6258R,2 x Intel Xeon Gold 6258R,89th,4,64
23,/s/AMD+EPYC+7643+48-Core,AMD EPYC 7643 48-Core,88th,3,65
24,/s/2+x+AMD+EPYC+7452+32-Core,2 x AMD EPYC 7452 32-Core,88th,6,65 +/- 1
25,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,88th,7,65
26,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,84th,37,66 +/- 3
27,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,83rd,47,67 +/- 2
28,/s/2+x+AMD+EPYC+7F52+16-Core,2 x AMD EPYC 7F52 16-Core,82nd,9,68 +/- 1
29,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,77th,5,69
30,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,77th,10,69
31,/s/AMD+EPYC+7662+64-Core,AMD EPYC 7662 64-Core,77th,12,69 +/- 2
32,/s/2+x+AMD+EPYC+7313+16-Core,2 x AMD EPYC 7313 16-Core,76th,4,70
33,/s/2+x+AMD+EPYC+7601+32-Core,2 x AMD EPYC 7601 32-Core,76th,15,70 +/- 1
34,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,76th,15,70 +/- 2
35,/s/AMD+Ryzen+Threadripper+PRO+3975WX+32-Cores,AMD Ryzen Threadripper PRO 3975WX 32-Cores,76th,4,70 +/- 2
37,/s/2+x+AMD+EPYC+7352+24-Core,2 x AMD EPYC 7352 24-Core,71st,6,73 +/- 1
38,/s/2+x+Intel+Xeon+Platinum+8259L,2 x Intel Xeon Platinum 8259L,71st,5,73
39,/s/2+x+Intel+Xeon+Platinum+8272CL,2 x Intel Xeon Platinum 8272CL,71st,4,73
40,/s/AMD+EPYC+7642+48-Core,AMD EPYC 7642 48-Core,69th,32,74 +/- 2
41,/s/AMD+EPYC+7552+48-Core,AMD EPYC 7552 48-Core,69th,11,74 +/- 1
42,/s/2+x+Intel+Xeon+Gold+6230R,2 x Intel Xeon Gold 6230R,69th,3,76
43,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,68th,9,77
44,/s/2+x+AMD+EPYC+7302+16-Core,2 x AMD EPYC 7302 16-Core,68th,6,80 +/- 1
45,/s/2+x+AMD+EPYC+7282+16-Core,2 x AMD EPYC 7282 16-Core,67th,9,83 +/- 1
46,/s/2+x+Intel+Xeon+Gold+6226R,2 x Intel Xeon Gold 6226R,66th,3,85
47,/s/AMD+EPYC+7542+32-Core,AMD EPYC 7542 32-Core,66th,9,85 +/- 3
48,/s/AMD+Ryzen+Threadripper+2990WX+32-Core,AMD Ryzen Threadripper 2990WX 32-Core,66th,8,86 +/- 1
49,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,66th,17,86 +/- 5
50,/s/AMD+EPYC+7453+28-Core,AMD EPYC 7453 28-Core,65th,3,88
51,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,64th,15,89 +/- 2
52,/s/AMD+EPYC+7502P+32-Core,AMD EPYC 7502P 32-Core,64th,17,89 +/- 3
53,/s/AMD+EPYC+7502+32-Core,AMD EPYC 7502 32-Core,64th,10,90 +/- 4
54,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,64th,3,92
55,/s/AMD+EPYC+7532+32-Core,AMD EPYC 7532 32-Core,63rd,11,93 +/- 4
56,/s/AMD+EPYC+7443+24-Core,AMD EPYC 7443 24-Core,62nd,3,96
57,/s/2+x+Intel+Xeon+Gold+6138,2 x Intel Xeon Gold 6138,62nd,11,97 +/- 2
58,/s/AMD+EPYC+7452+32-Core,AMD EPYC 7452 32-Core,62nd,7,99 +/- 2
59,/s/Intel+Xeon+Platinum+8280,Intel Xeon Platinum 8280,62nd,13,99 +/- 3
60,/s/AMD+EPYC+7F72+24-Core,AMD EPYC 7F72 24-Core,61st,11,100 +/- 2
61,/s/Intel+Xeon+Gold+6258R,Intel Xeon Gold 6258R,61st,4,100 +/- 1
62,/s/2+x+Intel+Xeon+Silver+4216,2 x Intel Xeon Silver 4216,60th,4,107 +/- 1
63,/s/2+x+AMD+EPYC+7272+12-Core,2 x AMD EPYC 7272 12-Core,60th,4,107 +/- 1
64,/s/AMD+EPYC+7601+32-Core,AMD EPYC 7601 32-Core,59th,12,108 +/- 1
65,/s/AMD+EPYC+7402P+24-Core,AMD EPYC 7402P 24-Core,59th,18,110 +/- 3
66,/s/AMD+EPYC+7402+24-Core,AMD EPYC 7402 24-Core,59th,6,110 +/- 1
67,/s/AMD+Ryzen+Threadripper+2970WX+24-Core,AMD Ryzen Threadripper 2970WX 24-Core,59th,3,110 +/- 1
68,/s/2+x+AMD+EPYC+7F32+8-Core,2 x AMD EPYC 7F32 8-Core,58th,6,115 +/- 1
69,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,57th,37,118 +/- 1
70,/s/AMD+EPYC+73F3+16-Core,AMD EPYC 73F3 16-Core,55th,7,121
71,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,55th,24,121 +/- 1
72,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,54th,25,122 +/- 2
73,/s/2+x+Intel+Xeon+Gold+6250,2 x Intel Xeon Gold 6250,54th,4,123 +/- 2
74,/s/2+x+Intel+Xeon+Silver+4214R,2 x Intel Xeon Silver 4214R,54th,4,124 +/- 1
75,/s/AMD+EPYC+7F52+16-Core,AMD EPYC 7F52 16-Core,53rd,11,126 +/- 6
76,/s/AMD+EPYC+7343+16-Core,AMD EPYC 7343 16-Core,52nd,3,129
77,/s/AMD+EPYC+7352+24-Core,AMD EPYC 7352 24-Core,52nd,6,129 +/- 1
