,idproc,descproc,percentile,nbproc,perf
0,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,100th,5,5
1,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,100th,8,6
2,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,100th,15,6
3,/s/Intel+Core+i3-10100,Intel Core i3-10100,100th,7,6
4,/s/Intel+Core+i7-9700K,Intel Core i7-9700K,100th,8,6 +/- 1
5,/s/Intel+Xeon+E3-1275+v6,Intel Xeon E3-1275 v6,100th,3,6
6,/s/Intel+Pentium+Gold+G6400,Intel Pentium Gold G6400,100th,4,6
7,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,100th,14,7
8,/s/Intel+Core+i7-7700,Intel Core i7-7700,100th,3,7
9,/s/Intel+Core+i9-7960X,Intel Core i9-7960X,100th,4,7
10,/s/Intel+Core+i7-7900X,Intel Core i7-7900X,100th,6,7 +/- 1
11,/s/Intel+Core+i7-8750H,Intel Core i7-8750H,100th,4,7 +/- 1
12,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,100th,3,7
13,/s/2+x+Intel+Xeon+Gold+6254,2 x Intel Xeon Gold 6254,100th,16,7
14,/s/2+x+Intel+Xeon+Gold+6154,2 x Intel Xeon Gold 6154,100th,9,7
15,/s/Intel+Core+i5-9400F,Intel Core i5-9400F,100th,4,7 +/- 1
16,/s/Intel+Core+i7-1185G7,Intel Core i7-1185G7,100th,3,7
17,/s/Intel+Xeon+E3-1245+v5,Intel Xeon E3-1245 v5,100th,4,7
18,/s/Intel+Celeron+G5900,Intel Celeron G5900,100th,4,8
19,/s/Intel+Xeon+Silver+4215R,Intel Xeon Silver 4215R,100th,3,8
20,/s/2+x+Intel+Xeon+Platinum+8160,2 x Intel Xeon Platinum 8160,100th,34,8
21,/s/Intel+Xeon+Gold+5218,Intel Xeon Gold 5218,100th,4,8
22,/s/Intel+Xeon+Gold+6226R,Intel Xeon Gold 6226R,100th,4,8
23,/s/Intel+Core+i7-7700HQ,Intel Core i7-7700HQ,100th,3,8
24,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,100th,7,8 +/- 1
25,/s/Intel+Core+i5-7300HQ,Intel Core i5-7300HQ,100th,3,8
26,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,100th,16,8
27,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,100th,4,8 +/- 1
28,/s/Intel+Core+i7-8700B,Intel Core i7-8700B,100th,5,8
29,/s/2+x+Intel+Xeon+Gold+6140,2 x Intel Xeon Gold 6140,100th,4,8
30,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,100th,4,8
31,/s/Intel+Xeon+Gold+5217,Intel Xeon Gold 5217,100th,4,8
32,/s/2+x+Intel+Xeon+Gold+6138,2 x Intel Xeon Gold 6138,100th,20,8 +/- 1
33,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,100th,12,9 +/- 1
34,/s/AMD+Ryzen+5+3600+6-Core,AMD Ryzen 5 3600 6-Core,100th,5,9 +/- 1
35,/s/Intel+Core+i5-4670,Intel Core i5-4670,100th,3,9
36,/s/Intel+Xeon+Silver+4214R,Intel Xeon Silver 4214R,100th,3,9
37,/s/Intel+Xeon+E5-2667+v4,Intel Xeon E5-2667 v4,100th,4,9
38,/s/Intel+Core+i7-6800K,Intel Core i7-6800K,100th,3,9
39,/s/AMD+Ryzen+5+4500U,AMD Ryzen 5 4500U,100th,3,9
40,/s/2+x+Intel+Xeon+E5-2699+v4,2 x Intel Xeon E5-2699 v4,100th,4,9
41,/s/AMD+EPYC+7F32+8-Core,AMD EPYC 7F32 8-Core,100th,5,9
42,/s/Intel+Core+i3-8100,Intel Core i3-8100,100th,3,9
43,/s/Intel+Core+i7-4720HQ,Intel Core i7-4720HQ,100th,3,9
44,/s/Intel+Xeon+Silver+4216,Intel Xeon Silver 4216,100th,5,9
45,/s/AMD+Ryzen+Threadripper+2920X+12-Core,AMD Ryzen Threadripper 2920X 12-Core,100th,3,9
46,/s/AMD+Ryzen+Threadripper+2950X+16-Core,AMD Ryzen Threadripper 2950X 16-Core,100th,11,9 +/- 1
47,/s/AMD+Ryzen+7+2700X+Eight-Core,AMD Ryzen 7 2700X Eight-Core,100th,12,9
48,/s/AMD+EPYC+7F72+24-Core,AMD EPYC 7F72 24-Core,100th,5,9
49,/s/2+x+Intel+Xeon+E5-2697+v3,2 x Intel Xeon E5-2697 v3,100th,4,10
50,/s/AMD+Ryzen+Threadripper+1950X+16-Core,AMD Ryzen Threadripper 1950X 16-Core,100th,11,10 +/- 1
51,/s/Intel+Core+i7-5557U,Intel Core i7-5557U,100th,4,10 +/- 1
