,idproc,descproc,percentile,nbproc,perf
0,/s/Apple+M1,Apple M1,96th,3,52
1,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,94th,3,54
2,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,94th,24,55 +/- 6
3,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,93rd,16,55 +/- 3
4,/s/Intel+Core+i7-8700B,Intel Core i7-8700B,92nd,3,55
5,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,92nd,16,57 +/- 7
6,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,92nd,8,57 +/- 6
7,/s/Intel+Core+i5-11600K,Intel Core i5-11600K,91st,5,58 +/- 4
8,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,88th,48,60 +/- 5
9,/s/Intel+Core+i7-7740K,Intel Core i7-7740K,85th,3,62
10,/s/AMD+Ryzen+5+5600G,AMD Ryzen 5 5600G,79th,3,65
11,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,79th,14,65 +/- 5
12,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,79th,11,66 +/- 3
13,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,79th,8,66 +/- 4
14,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,79th,3,66
15,/s/Intel+Core+i9-10885H,Intel Core i9-10885H,79th,6,66 +/- 2
16,/s/AMD+EPYC+7313+16-Core,AMD EPYC 7313 16-Core,79th,5,66 +/- 7
17,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,77th,3,67
19,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,75th,3,68
20,/s/Intel+Core+i7-4790K,Intel Core i7-4790K,70th,3,71
21,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,70th,3,71
22,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,70th,5,71 +/- 2
23,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,68th,7,72 +/- 1
24,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,68th,5,72 +/- 5
25,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,68th,5,72 +/- 1
26,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,68th,6,72 +/- 9
27,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,68th,3,72
