,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,98th,11,15 +/- 1
1,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,97th,4,15
2,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,94th,3,17
3,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,91st,3,18
4,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,91st,18,18 +/- 2
5,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,91st,9,18 +/- 1
6,/s/Ampere+Altra+ARMv8+Neoverse-N1+160-Core,Ampere Altra ARMv8 Neoverse-N1 160-Core,91st,6,18 +/- 1
7,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,90th,3,19
8,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,87th,4,21
9,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,84th,3,21
10,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,84th,4,21
11,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,81st,10,21
12,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,78th,7,22
14,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,75th,3,27
15,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,73rd,18,28 +/- 1
16,/s/AMD+EPYC+7453+28-Core,AMD EPYC 7453 28-Core,70th,3,30
17,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,68th,3,32 +/- 1
18,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,67th,8,33 +/- 1
19,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,66th,3,34
20,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,65th,4,36
21,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,63rd,3,38 +/- 2
22,/s/AMD+Ryzen+Threadripper+2970WX+24-Core,AMD Ryzen Threadripper 2970WX 24-Core,62nd,4,40
23,/s/Intel+Xeon+Gold+6226R,Intel Xeon Gold 6226R,61st,3,41 +/- 1
24,/s/AMD+EPYC+7551+32-Core,AMD EPYC 7551 32-Core,60th,4,42 +/- 1
25,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,59th,3,44
26,/s/AMD+EPYC+72F3+8-Core,AMD EPYC 72F3 8-Core,58th,3,45
27,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,54th,28,48 +/- 1
28,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,53rd,3,48
29,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,51st,14,49 +/- 3
31,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,46th,4,51 +/- 1
32,/s/AMD+Ryzen+7+5700G,AMD Ryzen 7 5700G,45th,9,52 +/- 1
33,/s/Intel+Xeon+Silver+4216,Intel Xeon Silver 4216,43rd,4,56 +/- 1
34,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,42nd,5,58 +/- 4
35,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,41st,3,59 +/- 1
36,/s/AMD+Ryzen+9+5900HX,AMD Ryzen 9 5900HX,40th,4,61 +/- 2
37,/s/AMD+Ryzen+5+5600G,AMD Ryzen 5 5600G,40th,4,61
38,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,38th,3,66
39,/s/AMD+Ryzen+5+3600XT+6-Core,AMD Ryzen 5 3600XT 6-Core,36th,3,70
40,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,36th,5,71 +/- 4
41,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,35th,3,81
42,/s/Intel+Core+i7-10700T,Intel Core i7-10700T,32nd,3,95 +/- 1
43,/s/AMD+Ryzen+5+5500U,AMD Ryzen 5 5500U,30th,10,98 +/- 1
44,/s/AMD+Ryzen+3+3300X+4-Core,AMD Ryzen 3 3300X 4-Core,29th,3,100 +/- 1
45,/s/AMD+Ryzen+5+4500U,AMD Ryzen 5 4500U,28th,3,103 +/- 2
46,/s/Intel+Core+i5-8400,Intel Core i5-8400,27th,6,104
47,/s/AMD+Ryzen+7+4700U,AMD Ryzen 7 4700U,26th,3,105 +/- 1
49,/s/Intel+Core+i3-10100,Intel Core i3-10100,25th,3,121
50,/s/Intel+Xeon+E3-1275+v6,Intel Xeon E3-1275 v6,24th,4,125
51,/s/Intel+Xeon+E3-1270+v5,Intel Xeon E3-1270 v5,22nd,4,129
52,/s/AMD+Ryzen+5+3400G,AMD Ryzen 5 3400G,22nd,3,132
53,/s/Intel+Xeon+E3-1280+v5,Intel Xeon E3-1280 v5,20th,6,135
54,/s/Intel+Xeon+E3-1231+v3,Intel Xeon E3-1231 v3,19th,3,137
55,/s/Intel+Xeon+E3-1245+v5,Intel Xeon E3-1245 v5,19th,4,137
56,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,18th,3,142 +/- 5
57,/s/Intel+Xeon+E3-1260L+v5,Intel Xeon E3-1260L v5,17th,3,148
58,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,17th,4,152
59,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,15th,3,157 +/- 5
60,/s/Intel+Core+i3-8100,Intel Core i3-8100,14th,3,164
61,/s/Intel+Core+i7-3770K,Intel Core i7-3770K,12th,3,176
