,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,100th,8,16 +/- 2
1,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,96th,5,17
2,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,96th,7,17 +/- 1
3,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,96th,28,18 +/- 1
4,/s/2+x+AMD+EPYC+74F3+24-Core,2 x AMD EPYC 74F3 24-Core,95th,7,18
5,/s/2+x+AMD+EPYC+7643+48-Core,2 x AMD EPYC 7643 48-Core,93rd,3,18
6,/s/2+x+AMD+EPYC+7663+56-Core,2 x AMD EPYC 7663 56-Core,90th,6,18
7,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,87th,5,19
8,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,86th,4,19
9,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,84th,9,19 +/- 1
10,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,84th,18,19 +/- 1
11,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,84th,16,19 +/- 1
12,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,83rd,7,20 +/- 1
13,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,82nd,6,20
14,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,78th,6,21
15,/s/AMD+EPYC+7643+48-Core,AMD EPYC 7643 48-Core,77th,3,21
16,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,76th,13,21
18,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,72nd,9,22
19,/s/Ampere+Altra+ARMv8+Neoverse-N1+160-Core,Ampere Altra ARMv8 Neoverse-N1 160-Core,71st,4,22 +/- 1
20,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,71st,5,22 +/- 1
21,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,69th,6,23
22,/s/AMD+EPYC+7443+24-Core,AMD EPYC 7443 24-Core,68th,3,24 +/- 2
23,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,67th,10,25
24,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,66th,3,25
25,/s/AMD+EPYC+7453+28-Core,AMD EPYC 7453 28-Core,60th,9,29 +/- 1
26,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,60th,4,29
27,/s/AMD+EPYC+73F3+16-Core,AMD EPYC 73F3 16-Core,59th,6,30
28,/s/AMD+EPYC+7343+16-Core,AMD EPYC 7343 16-Core,58th,3,30 +/- 2
29,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,56th,62,30 +/- 2
31,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,50th,13,35 +/- 3
32,/s/AMD+Ryzen+Threadripper+2990WX+32-Core,AMD Ryzen Threadripper 2990WX 32-Core,49th,3,35
33,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,48th,3,37
34,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,48th,3,38
35,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,47th,3,38
36,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,46th,3,39
