,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,97th,26,31 +/- 3
1,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,96th,8,34
2,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,96th,6,34 +/- 1
3,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,95th,29,34 +/- 5
4,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,95th,9,34 +/- 4
5,/s/2+x+Intel+Xeon+Gold+5218R,2 x Intel Xeon Gold 5218R,94th,4,35 +/- 1
6,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,94th,6,35 +/- 1
7,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,91st,7,36
8,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,91st,5,36
9,/s/2+x+AMD+EPYC+7452+32-Core,2 x AMD EPYC 7452 32-Core,90th,7,36 +/- 5
10,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,90th,11,36 +/- 5
11,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,90th,6,36 +/- 1
12,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,89th,5,37
13,/s/2+x+AMD+EPYC+7F52+16-Core,2 x AMD EPYC 7F52 16-Core,89th,6,37 +/- 3
14,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,89th,6,37 +/- 2
15,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,89th,20,37 +/- 1
16,/s/2+x+Intel+Xeon+Gold+6258R,2 x Intel Xeon Gold 6258R,88th,4,37 +/- 2
17,/s/2+x+Intel+Xeon+Gold+6248R,2 x Intel Xeon Gold 6248R,87th,3,37 +/- 4
18,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,86th,17,37 +/- 5
19,/s/2+x+AMD+EPYC+7542+32-Core,2 x AMD EPYC 7542 32-Core,85th,5,38 +/- 2
20,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,85th,86,38 +/- 2
21,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,82nd,5,38
22,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,82nd,8,38 +/- 3
23,/s/2+x+AMD+EPYC+7552+48-Core,2 x AMD EPYC 7552 48-Core,81st,5,38 +/- 2
24,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,81st,31,38 +/- 4
25,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,80th,8,38
26,/s/2+x+AMD+EPYC+7402+24-Core,2 x AMD EPYC 7402 24-Core,80th,6,38 +/- 5
27,/s/2+x+AMD+EPYC+7502+32-Core,2 x AMD EPYC 7502 32-Core,79th,7,39 +/- 2
28,/s/2+x+Intel+Xeon+Gold+6230R,2 x Intel Xeon Gold 6230R,79th,3,39 +/- 2
