,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,100th,13,50 +/- 1
1,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,98th,6,54
2,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,96th,22,55 +/- 1
3,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,96th,11,56 +/- 1
4,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,95th,6,56
5,/s/2+x+AMD+EPYC+7643+48-Core,2 x AMD EPYC 7643 48-Core,94th,3,56 +/- 1
6,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,93rd,5,56
7,/s/2+x+AMD+EPYC+7663+56-Core,2 x AMD EPYC 7663 56-Core,92nd,4,57 +/- 1
8,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,92nd,9,57
9,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,90th,6,59
10,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,89th,9,59 +/- 1
11,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,89th,9,59 +/- 5
12,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,87th,9,61 +/- 1
13,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,87th,6,61
14,/s/AMD+EPYC+7643+48-Core,AMD EPYC 7643 48-Core,87th,3,61
15,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,87th,3,61 +/- 5
16,/s/2+x+AMD+EPYC+7F52+16-Core,2 x AMD EPYC 7F52 16-Core,87th,3,61
17,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,83rd,15,63 +/- 7
18,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,83rd,6,63
19,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,83rd,3,63
20,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,83rd,3,63
21,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,82nd,10,64 +/- 2
22,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,82nd,12,65 +/- 3
23,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,81st,13,66 +/- 3
24,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,80th,5,67
25,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,80th,8,67
26,/s/AMD+EPYC+7662+64-Core,AMD EPYC 7662 64-Core,78th,5,68
28,/s/AMD+EPYC+7552+48-Core,AMD EPYC 7552 48-Core,75th,5,70
29,/s/AMD+EPYC+7642+48-Core,AMD EPYC 7642 48-Core,75th,5,70 +/- 1
30,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,73rd,10,71 +/- 4
31,/s/AMD+EPYC+73F3+16-Core,AMD EPYC 73F3 16-Core,73rd,6,71
32,/s/AMD+EPYC+7453+28-Core,AMD EPYC 7453 28-Core,71st,4,72
33,/s/AMD+EPYC+7542+32-Core,AMD EPYC 7542 32-Core,71st,4,72
34,/s/Intel+Xeon+Gold+6258R,Intel Xeon Gold 6258R,69th,3,74
35,/s/AMD+EPYC+7502P+32-Core,AMD EPYC 7502P 32-Core,69th,5,74
36,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,69th,53,74 +/- 6
37,/s/AMD+EPYC+7F52+16-Core,AMD EPYC 7F52 16-Core,66th,8,75 +/- 1
38,/s/AMD+EPYC+7532+32-Core,AMD EPYC 7532 32-Core,66th,5,75
39,/s/AMD+EPYC+7402P+24-Core,AMD EPYC 7402P 24-Core,66th,7,75 +/- 3
40,/s/Intel+Xeon+Platinum+8280,Intel Xeon Platinum 8280,66th,3,75 +/- 1
41,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,65th,4,76
42,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,65th,6,76 +/- 4
43,/s/AMD+EPYC+7F72+24-Core,AMD EPYC 7F72 24-Core,64th,5,77 +/- 3
44,/s/2+x+AMD+EPYC+7601+32-Core,2 x AMD EPYC 7601 32-Core,60th,5,82 +/- 5
