,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7662+64-Core,2 x AMD EPYC 7662 64-Core,100th,4,7 +/- 1
1,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,99th,10,7
2,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,99th,55,7 +/- 1
3,/s/2+x+AMD+EPYC+7663+56-Core,2 x AMD EPYC 7663 56-Core,99th,3,7
4,/s/2+x+AMD+EPYC+7702+64-Core,2 x AMD EPYC 7702 64-Core,99th,4,7
5,/s/2+x+AMD+EPYC+7643+48-Core,2 x AMD EPYC 7643 48-Core,99th,3,8
6,/s/2+x+AMD+EPYC+7642+48-Core,2 x AMD EPYC 7642 48-Core,99th,10,8
7,/s/2+x+AMD+EPYC+7552+48-Core,2 x AMD EPYC 7552 48-Core,99th,7,8
8,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,99th,11,9 +/- 1
9,/s/2+x+AMD+EPYC+7543+32-Core,2 x AMD EPYC 7543 32-Core,98th,3,10
10,/s/2+x+AMD+EPYC+7542+32-Core,2 x AMD EPYC 7542 32-Core,98th,6,10
11,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,98th,5,10
12,/s/2+x+AMD+EPYC+7532+32-Core,2 x AMD EPYC 7532 32-Core,97th,8,11
13,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,97th,4,11
14,/s/2+x+AMD+EPYC+7502+32-Core,2 x AMD EPYC 7502 32-Core,97th,16,11 +/- 1
15,/s/2+x+AMD+EPYC+7452+32-Core,2 x AMD EPYC 7452 32-Core,97th,12,12
16,/s/2+x+AMD+EPYC+74F3+24-Core,2 x AMD EPYC 74F3 24-Core,97th,3,12
17,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,96th,14,12
18,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,96th,10,12
