,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,99th,11,1137952 +/- 81695
1,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,98th,10,1116447 +/- 19819
2,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,94th,4,790295 +/- 1822
3,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,89th,4,636012 +/- 5752
4,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,88th,8,634843 +/- 6976
5,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,87th,5,632144 +/- 3802
6,/s/AMD+EPYC+7662+64-Core,AMD EPYC 7662 64-Core,87th,5,632050 +/- 2262
7,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,82nd,8,604711 +/- 45244
8,/s/AMD+EPYC+7642+48-Core,AMD EPYC 7642 48-Core,78th,5,471067 +/- 1264
9,/s/AMD+EPYC+7552+48-Core,AMD EPYC 7552 48-Core,77th,5,469072 +/- 1889
11,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,74th,6,434867 +/- 2660
12,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,73rd,3,430911 +/- 3895
13,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,72nd,9,418438 +/- 16404
14,/s/2+x+AMD+EPYC+7F52+16-Core,2 x AMD EPYC 7F52 16-Core,70th,3,380378 +/- 4166
15,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,69th,3,374494 +/- 647
16,/s/2+x+AMD+EPYC+7601+32-Core,2 x AMD EPYC 7601 32-Core,67th,6,360683 +/- 3699
17,/s/Intel+Xeon+Gold+6258R,Intel Xeon Gold 6258R,66th,3,344134 +/- 2579
18,/s/Intel+Xeon+Platinum+8280,Intel Xeon Platinum 8280,65th,3,336299 +/- 1549
19,/s/AMD+EPYC+7542+32-Core,AMD EPYC 7542 32-Core,64th,4,325232 +/- 1624
20,/s/AMD+EPYC+7532+32-Core,AMD EPYC 7532 32-Core,63rd,5,318077 +/- 1849
21,/s/AMD+EPYC+7502P+32-Core,AMD EPYC 7502P 32-Core,62nd,5,317175 +/- 1845
22,/s/Intel+Xeon+Gold+5220R,Intel Xeon Gold 5220R,56th,3,220257 +/- 1525
23,/s/AMD+EPYC+7402P+24-Core,AMD EPYC 7402P 24-Core,54th,5,211046 +/- 1133
24,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,54th,3,210985 +/- 2750
