,idproc,descproc,percentile,nbproc,perf
0,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,99th,12,3739 +/- 271
1,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,97th,4,4083 +/- 8
2,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,96th,3,4094 +/- 9
3,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,95th,6,4106 +/- 121
4,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,95th,17,4127 +/- 69
6,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,58th,4,4225 +/- 71
7,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,58th,3,4233 +/- 33
8,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,56th,3,4306 +/- 23
9,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,56th,3,4598 +/- 11
10,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,55th,3,4608 +/- 2
11,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,54th,3,4717 +/- 51
12,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,54th,3,4728 +/- 22
13,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,54th,3,4734 +/- 22
14,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,53rd,3,4761 +/- 10
15,/s/AMD+Ryzen+3+3300X+4-Core,AMD Ryzen 3 3300X 4-Core,52nd,3,4796 +/- 18
16,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,52nd,3,4805 +/- 12
18,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,50th,3,4861 +/- 11
19,/s/AMD+Ryzen+5+3600XT+6-Core,AMD Ryzen 5 3600XT 6-Core,50th,3,4872 +/- 29
20,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,49th,3,4959 +/- 72
21,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,49th,3,4969 +/- 22
22,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,48th,5,5002 +/- 88
23,/s/Intel+Core+i5-8400,Intel Core i5-8400,47th,3,5128 +/- 34
24,/s/Intel+Core+i7-7740K,Intel Core i7-7740K,47th,3,5139 +/- 16
25,/s/AMD+Ryzen+7+5700G,AMD Ryzen 7 5700G,46th,3,5159 +/- 33
26,/s/Intel+Core+i7-9750H,Intel Core i7-9750H,44th,4,5202 +/- 89
27,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,44th,8,5229 +/- 153
28,/s/Intel+Core+i3-10100,Intel Core i3-10100,43rd,3,5247 +/- 30
29,/s/AMD+Ryzen+5+5600G,AMD Ryzen 5 5600G,42nd,3,5262 +/- 11
30,/s/Intel+Core+i5-9400F,Intel Core i5-9400F,40th,3,5340 +/- 18
31,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,39th,6,5441 +/- 371
