,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,99th,25,106 +/- 2
1,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,95th,14,70 +/- 1
2,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,93rd,5,68 +/- 1
3,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,92nd,8,66
4,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,91st,4,59 +/- 1
5,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,90th,9,58
6,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,89th,4,56
7,/s/2+x+AMD+EPYC+74F3+24-Core,2 x AMD EPYC 74F3 24-Core,88th,5,53
8,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,86th,9,46
9,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,85th,4,45
10,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,84th,10,43
11,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,82nd,4,39
12,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,81st,3,38 +/- 1
13,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,79th,21,37
14,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,77th,6,36
15,/s/AMD+EPYC+7453+28-Core,AMD EPYC 7453 28-Core,76th,6,33
17,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,74th,4,32
18,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,74th,3,30
19,/s/2+x+AMD+EPYC+7601+32-Core,2 x AMD EPYC 7601 32-Core,73rd,3,28
20,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,72nd,3,25
21,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,71st,9,23
22,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,69th,18,23
23,/s/AMD+EPYC+7551+32-Core,AMD EPYC 7551 32-Core,65th,3,21
24,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,64th,3,20
25,/s/Intel+Xeon+Gold+6226R,Intel Xeon Gold 6226R,63rd,4,20
26,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,60th,18,19 +/- 1
27,/s/AMD+Ryzen+Threadripper+2970WX+24-Core,AMD Ryzen Threadripper 2970WX 24-Core,60th,4,19
28,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,60th,3,18
29,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,57th,16,16
30,/s/AMD+Ryzen+Threadripper+2950X+16-Core,AMD Ryzen Threadripper 2950X 16-Core,55th,4,16
31,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,54th,8,15
32,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,53rd,3,15
33,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,52nd,3,14
34,/s/Intel+Xeon+Silver+4216,Intel Xeon Silver 4216,51st,3,14
36,/s/Intel+Xeon+E5-2687W+v3,Intel Xeon E5-2687W v3,50th,3,13
37,/s/AMD+Ryzen+7+5700G,AMD Ryzen 7 5700G,49th,9,13
38,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,49th,7,13 +/- 1
39,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,48th,4,12
40,/s/AMD+Ryzen+9+5900HX,AMD Ryzen 9 5900HX,45th,19,12
41,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,43rd,3,11
42,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,43rd,3,11
43,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,42nd,4,11
44,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,41st,3,11
45,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,41st,5,11
46,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,40th,7,10
47,/s/AMD+Ryzen+5+5600G,AMD Ryzen 5 5600G,38th,7,10
48,/s/Intel+Core+i7-6800K,Intel Core i7-6800K,36th,3,9
49,/s/Intel+Core+i7-10700T,Intel Core i7-10700T,36th,3,9
50,/s/AMD+Ryzen+5+3600XT+6-Core,AMD Ryzen 5 3600XT 6-Core,35th,6,8
51,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,34th,3,8
52,/s/Intel+Core+i7-9750H,Intel Core i7-9750H,33rd,4,7
53,/s/AMD+Ryzen+7+1700+Eight-Core,AMD Ryzen 7 1700 Eight-Core,33rd,3,7
54,/s/Intel+Core+i7-4960X,Intel Core i7-4960X,32nd,3,7
55,/s/Intel+Core+i3-10100,Intel Core i3-10100,31st,3,7
56,/s/Intel+Core+i5-8400,Intel Core i5-8400,31st,3,6
57,/s/Intel+Xeon+E3-1275+v6,Intel Xeon E3-1275 v6,30th,4,6
58,/s/Intel+Core+i5-9400F,Intel Core i5-9400F,29th,3,6
59,/s/AMD+Ryzen+5+5500U,AMD Ryzen 5 5500U,28th,9,6
60,/s/AMD+Ryzen+3+3300X+4-Core,AMD Ryzen 3 3300X 4-Core,27th,3,6
61,/s/Intel+Xeon+E3-1245+v5,Intel Xeon E3-1245 v5,26th,6,6
63,/s/Intel+Xeon+E3-1280+v5,Intel Xeon E3-1280 v5,25th,6,6
64,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,24th,6,6
65,/s/Intel+Xeon+E3-1260L+v5,Intel Xeon E3-1260L v5,23rd,3,6
66,/s/Intel+Xeon+E3-1231+v3,Intel Xeon E3-1231 v3,22nd,3,6
67,/s/Intel+Xeon+E3-1270+v5,Intel Xeon E3-1270 v5,22nd,6,5
68,/s/AMD+Ryzen+7+4700U,AMD Ryzen 7 4700U,20th,4,5
69,/s/Intel+Core+i7-1185G7,Intel Core i7-1185G7,19th,8,5
70,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,18th,16,5
71,/s/Intel+Xeon+E5-2609+v4,Intel Xeon E5-2609 v4,16th,3,5
72,/s/Intel+Core+i7-3770K,Intel Core i7-3770K,15th,3,5
73,/s/Intel+Core+i7-8550U,Intel Core i7-8550U,15th,3,5
74,/s/AMD+Ryzen+5+3400G,AMD Ryzen 5 3400G,14th,4,5
75,/s/AMD+Ryzen+5+4500U,AMD Ryzen 5 4500U,13th,5,4
76,/s/AMD+Ryzen+5+2400G,AMD Ryzen 5 2400G,11th,5,4
77,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,11th,3,4
78,/s/Intel+Core+i3-8100,Intel Core i3-8100,11th,4,4
79,/s/Intel+Core+i7-1065G7,Intel Core i7-1065G7,9th,5,4
80,/s/Intel+Core+i7-8565U,Intel Core i7-8565U,9th,7,4
81,/s/Intel+Core+i5-6500,Intel Core i5-6500,8th,4,4
82,/s/Intel+Core+i7-2700K,Intel Core i7-2700K,7th,3,3
83,/s/Intel+Xeon+E3-1235L+v5,Intel Xeon E3-1235L v5,6th,3,3
84,/s/Intel+Core+i3-7100,Intel Core i3-7100,5th,6,3
85,/s/AMD+Ryzen+3+2200G,AMD Ryzen 3 2200G,4th,3,3
86,/s/AMD+Ryzen+3+1300X,AMD Ryzen 3 1300X,4th,3,3
87,/s/AMD+FX-8150+Eight-Core,AMD FX-8150 Eight-Core,3rd,3,3
88,/s/Intel+Core+i3-4130,Intel Core i3-4130,3rd,4,2
89,/s/AMD+Ryzen+3+3200U,AMD Ryzen 3 3200U,2nd,3,2
