,idproc,descproc,percentile,nbproc,perf
0,/s/NVIDIA+GeForce+RTX+3090,NVIDIA GeForce RTX 3090,100th,3,199
1,/s/AMD+Radeon+RX+6800+XT,AMD Radeon RX 6800 XT,97th,6,174 +/- 7
2,/s/NVIDIA+GeForce+RTX+3080,NVIDIA GeForce RTX 3080,95th,10,167 +/- 16
3,/s/AMD+Radeon+RX+6800,AMD Radeon RX 6800,89th,6,161 +/- 5
4,/s/NVIDIA+GeForce+RTX+3070,NVIDIA GeForce RTX 3070,86th,3,156
5,/s/NVIDIA+GeForce+RTX+2080+Ti,NVIDIA GeForce RTX 2080 Ti,83rd,10,148 +/- 6
7,/s/NVIDIA+GeForce+RTX+3060+Ti,NVIDIA GeForce RTX 3060 Ti,75th,6,133 +/- 4
8,/s/NVIDIA+GeForce+RTX+2080+SUPER,NVIDIA GeForce RTX 2080 SUPER,72nd,7,126 +/- 4
9,/s/Zotac+NVIDIA+GeForce+RTX+2080,Zotac NVIDIA GeForce RTX 2080,65th,5,115 +/- 4
10,/s/NVIDIA+GeForce+RTX+2070+SUPER,NVIDIA GeForce RTX 2070 SUPER,65th,6,113 +/- 1
11,/s/AMD+Radeon+RX+5600+OEM,AMD Radeon RX 5600 OEM,56th,15,106 +/- 7
12,/s/NVIDIA+GeForce+GTX+1080+Ti,NVIDIA GeForce GTX 1080 Ti,56th,8,106 +/- 3
13,/s/eVGA+NVIDIA+GeForce+RTX+3060,eVGA NVIDIA GeForce RTX 3060,54th,3,103
14,/s/ASUS+NVIDIA+GeForce+RTX+2070,ASUS NVIDIA GeForce RTX 2070,51st,4,95 +/- 3
16,/s/Sapphire+AMD+Radeon+RX+5600+OEM,Sapphire AMD Radeon RX 5600 OEM,48th,3,91
17,/s/AMD+Radeon+RX+64,AMD Radeon RX 64,45th,4,84 +/- 1
18,/s/NVIDIA+GeForce+RTX+2060,NVIDIA GeForce RTX 2060,45th,3,84
19,/s/NVIDIA+GeForce+GTX+1080,NVIDIA GeForce GTX 1080,41st,9,81 +/- 2
20,/s/Zotac+NVIDIA+GeForce+GTX+1070+Ti,Zotac NVIDIA GeForce GTX 1070 Ti,38th,7,77 +/- 4
21,/s/NVIDIA+GeForce+GTX+1070,NVIDIA GeForce GTX 1070,31st,7,64 +/- 2
23,/s/NVIDIA+GeForce+GTX+980+Ti,NVIDIA GeForce GTX 980 Ti,25th,4,58 +/- 1
24,/s/MSI+AMD+Radeon+RX+580,MSI AMD Radeon RX 580,21st,20,52 +/- 2
25,/s/NVIDIA+GeForce+GTX+980,NVIDIA GeForce GTX 980,15th,3,47 +/- 1
26,/s/NVIDIA+GeForce+GTX+1060+6GB,NVIDIA GeForce GTX 1060 6GB,12th,9,45 +/- 1
