,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,100th,19,20400 +/- 584
1,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,100th,17,20229 +/- 263
2,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,100th,4,19560 +/- 1081
3,/s/Apple+M1,Apple M1,100th,11,19534 +/- 1968
4,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,100th,6,17468 +/- 171
5,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,100th,10,16994 +/- 811
6,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,100th,13,16245 +/- 555
7,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,100th,3,16160
8,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,100th,3,15846
9,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,100th,37,15771 +/- 501
10,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,100th,3,15573
11,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,100th,25,15185 +/- 153
12,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,100th,15,15165 +/- 983
13,/s/Intel+Xeon+E-2278G,Intel Xeon E-2278G,100th,3,15123 +/- 47
14,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,100th,5,15001 +/- 180
15,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,100th,25,14982 +/- 989
16,/s/Intel+Core+i7-7740K,Intel Core i7-7740K,100th,16,14923 +/- 200
17,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,100th,12,14761 +/- 1207
18,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,100th,5,14718 +/- 160
19,/s/Intel+Core+i7-4790K,Intel Core i7-4790K,100th,30,14682 +/- 296
20,/s/AMD+Ryzen+5+3600X+6-Core,AMD Ryzen 5 3600X 6-Core,100th,6,14467 +/- 1090
21,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,100th,6,14441 +/- 793
22,/s/AMD+Ryzen+5+3600+6-Core,AMD Ryzen 5 3600 6-Core,100th,3,14410 +/- 1579
23,/s/Intel+Core+i9-7960X,Intel Core i9-7960X,100th,3,14348 +/- 736
24,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,100th,5,14313 +/- 702
25,/s/Intel+Xeon+Gold+6212U,Intel Xeon Gold 6212U,100th,3,14282 +/- 24
26,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,100th,58,14275 +/- 1054
27,/s/Intel+Core+i7-6950X,Intel Core i7-6950X,100th,3,14238 +/- 1132
28,/s/Intel+Core+i7-7900X,Intel Core i7-7900X,100th,21,14238 +/- 321
29,/s/Intel+Core+i7-5775C,Intel Core i7-5775C,100th,22,14110 +/- 652
30,/s/Intel+Core+i7-6700K,Intel Core i7-6700K,100th,14,14095 +/- 1022
31,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,100th,11,13990 +/- 909
32,/s/Intel+Core+i7-8700B,Intel Core i7-8700B,100th,5,13958 +/- 106
33,/s/Intel+Core+i5-8400,Intel Core i5-8400,100th,12,13834 +/- 415
34,/s/Intel+Xeon+E3-1240+v5,Intel Xeon E3-1240 v5,100th,56,13778 +/- 239
35,/s/Intel+Xeon+Gold+6210U,Intel Xeon Gold 6210U,100th,4,13668 +/- 93
36,/s/Intel+Xeon+E5-1680+v3,Intel Xeon E5-1680 v3,100th,41,13658 +/- 378
37,/s/Intel+Core+i7-7567U,Intel Core i7-7567U,100th,3,13586 +/- 398
38,/s/2+x+Intel+Xeon+E5-2690+v3,2 x Intel Xeon E5-2690 v3,100th,26,13390 +/- 184
39,/s/Intel+Core+i7-4770,Intel Core i7-4770,100th,3,13303 +/- 475
40,/s/Intel+Core+i7-4770R,Intel Core i7-4770R,100th,4,13283 +/- 55
41,/s/Intel+Core+i7-6800K,Intel Core i7-6800K,97th,23,13202 +/- 528
42,/s/Intel+Core+i7-2600K,Intel Core i7-2600K,97th,11,13180 +/- 1636
43,/s/Intel+Core+i7-5960X,Intel Core i7-5960X,97th,25,13157 +/- 271
44,/s/Intel+Xeon+E3-1230+V2,Intel Xeon E3-1230 V2,97th,4,13150 +/- 514
45,/s/AMD+Ryzen+7+2700X+Eight-Core,AMD Ryzen 7 2700X Eight-Core,97th,29,13130 +/- 878
46,/s/Intel+Core+i5-4670,Intel Core i5-4670,97th,23,13109 +/- 363
47,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,96th,21,12993 +/- 611
48,/s/AMD+Ryzen+5+2600X+Six-Core,AMD Ryzen 5 2600X Six-Core,96th,10,12980 +/- 682
49,/s/AMD+Ryzen+Threadripper+2990WX+32-Core,AMD Ryzen Threadripper 2990WX 32-Core,92nd,23,12877 +/- 1630
50,/s/AMD+Ryzen+Threadripper+2950X+16-Core,AMD Ryzen Threadripper 2950X 16-Core,92nd,12,12854 +/- 1228
51,/s/Intel+Core+i3-8100,Intel Core i3-8100,90th,22,12795 +/- 410
52,/s/Intel+Xeon+E3-1280+v5,Intel Xeon E3-1280 v5,90th,20,12789 +/- 397
53,/s/AMD+Ryzen+Threadripper+2920X+12-Core,AMD Ryzen Threadripper 2920X 12-Core,90th,3,12726 +/- 17
54,/s/2+x+Intel+Xeon+Gold+6138,2 x Intel Xeon Gold 6138,89th,25,12701 +/- 435
55,/s/AMD+Ryzen+7+2700+Eight-Core,AMD Ryzen 7 2700 Eight-Core,89th,3,12700 +/- 1113
56,/s/Intel+Xeon+E5-2687W+v3,Intel Xeon E5-2687W v3,89th,33,12695 +/- 553
57,/s/Intel+Core+i3-7100,Intel Core i3-7100,89th,10,12645 +/- 103
58,/s/2+x+Intel+Xeon+E5-2695+v3,2 x Intel Xeon E5-2695 v3,89th,7,12642 +/- 585
59,/s/Intel+Core+i7-3770K,Intel Core i7-3770K,89th,52,12627 +/- 358
60,/s/Intel+Core+i7-3960X,Intel Core i7-3960X,88th,40,12619 +/- 1102
61,/s/Intel+Core+i5-3570K,Intel Core i5-3570K,88th,12,12614 +/- 805
