,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,66th,15,43 +/- 6
1,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,66th,4,52 +/- 4
2,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,65th,7,53 +/- 6
3,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,65th,3,53
4,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,64th,3,55 +/- 1
5,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,62nd,3,56
6,/s/Intel+Core+i9-10885H,Intel Core i9-10885H,61st,4,57 +/- 1
7,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,61st,3,57
8,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,61st,4,57
9,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,60th,3,60
10,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,57th,4,61
11,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,57th,3,61
12,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,56th,7,63 +/- 2
13,/s/Intel+Core+i7-7740K,Intel Core i7-7740K,56th,3,63
14,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,54th,4,64
15,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,54th,3,64
16,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,54th,3,64
17,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,54th,4,64 +/- 8
18,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,54th,8,64 +/- 1
19,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,54th,3,64 +/- 1
21,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,50th,3,65
22,/s/Intel+Core+i7-4790K,Intel Core i7-4790K,50th,3,65
23,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,50th,3,65
24,/s/AMD+Ryzen+5+3600XT+6-Core,AMD Ryzen 5 3600XT 6-Core,49th,4,66
25,/s/AMD+Ryzen+3+3300X+4-Core,AMD Ryzen 3 3300X 4-Core,49th,4,66 +/- 1
26,/s/Intel+Core+i7-7900X,Intel Core i7-7900X,46th,3,67
27,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,46th,3,67
28,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,46th,3,67
29,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,46th,5,67
30,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,43rd,5,68
31,/s/Intel+Core+i7-9750H,Intel Core i7-9750H,42nd,3,69
32,/s/Intel+Core+i7-1065G7,Intel Core i7-1065G7,42nd,4,69 +/- 1
33,/s/Intel+Core+i7-8565U,Intel Core i7-8565U,42nd,5,69
34,/s/AMD+Ryzen+Threadripper+2970WX+24-Core,AMD Ryzen Threadripper 2970WX 24-Core,38th,3,72
35,/s/Intel+Core+i7-8550U,Intel Core i7-8550U,38th,4,72 +/- 1
