,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,99th,3,91 +/- 1
1,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,96th,11,95 +/- 2
2,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,96th,5,96 +/- 4
3,/s/Intel+Core+i7-7740K,Intel Core i7-7740K,90th,3,101
4,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,84th,5,107
5,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,81st,3,110
6,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,80th,3,113
7,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,80th,9,113 +/- 10
8,/s/Intel+Core+i3-7100,Intel Core i3-7100,79th,7,117
10,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,75th,6,119
11,/s/AMD+Ryzen+5+3600XT+6-Core,AMD Ryzen 5 3600XT 6-Core,75th,3,119
12,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,72nd,3,121
13,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,71st,3,123
14,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,71st,3,123
15,/s/AMD+Ryzen+5+3400G,AMD Ryzen 5 3400G,68th,3,124
16,/s/AMD+Ryzen+3+1300X,AMD Ryzen 3 1300X,68th,3,126
17,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,64th,3,129
18,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,64th,3,129
19,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,63rd,8,130 +/- 4
20,/s/AMD+Ryzen+Threadripper+2950X+16-Core,AMD Ryzen Threadripper 2950X 16-Core,63rd,4,130 +/- 1
21,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,62nd,3,131
22,/s/Intel+Core+i5-1135G7,Intel Core i5-1135G7,61st,4,134 +/- 1
23,/s/Intel+Core+i3-10100,Intel Core i3-10100,59th,3,136
24,/s/Intel+Core+i5-9400F,Intel Core i5-9400F,59th,3,136
25,/s/AMD+Ryzen+5+4500U,AMD Ryzen 5 4500U,57th,3,137
