,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,100th,3,59.5 +/- 0.4
1,/s/512GB+SAMSUNG+MZVLQ512HBLU-00B00,512GB SAMSUNG MZVLQ512HBLU-00B00,100th,4,59.4 +/- 7.2
2,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,99th,4,48.6 +/- 0.8
3,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,99th,6,46.9 +/- 3.2
4,/s/240GB+Corsair+Force+MP510,240GB Corsair Force MP510,99th,3,46.3 +/- 0.4
5,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,98th,29,46.1 +/- 4.1
6,/s/2048GB+KXG50PNV2T04+KIOXIA,2048GB KXG50PNV2T04 KIOXIA,97th,3,43.1 +/- 0.1
7,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,97th,11,42.9 +/- 3.9
8,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,97th,3,42.5 +/- 1.0
9,/s/Kioxia+KBG40ZNS256G+NVMe,Kioxia KBG40ZNS256G NVMe,95th,11,40.3 +/- 2.0
10,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,95th,8,39.9 +/- 0.5
11,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,78th,5,37.9 +/- 0.4
13,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,74th,3,37.7 +/- 3.8
14,/s/Intel+Core+i3-10100,Intel Core i3-10100,66th,7,36.0 +/- 0.7
15,/s/Toshiba+KBG40ZPZ512G+NVMe,Toshiba KBG40ZPZ512G NVMe,66th,3,35.7 +/- 0.1
16,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,66th,3,35.6 +/- 4.0
17,/s/Intel+Xeon+E3-1270+v5,Intel Xeon E3-1270 v5,61st,3,35.0 +/- 0.1
18,/s/AMD+Ryzen+3+3300X+4-Core,AMD Ryzen 3 3300X 4-Core,61st,6,33.9 +/- 0.8
19,/s/Intel+Celeron+G5900,Intel Celeron G5900,61st,4,33.7 +/- 0.5
20,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,59th,3,32.4 +/- 0.3
21,/s/1000GB+Samsung+SSD+970+EVO+Plus+1TB,1000GB Samsung SSD 970 EVO Plus 1TB,59th,3,32.3 +/- 0.1
22,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,58th,15,31.9 +/- 0.9
23,/s/Intel+Core+i7-9700TE,Intel Core i7-9700TE,58th,4,31.4 +/- 0.6
24,/s/Intel+Pentium+Gold+G6400,Intel Pentium Gold G6400,57th,4,30.8 +/- 0.4
25,/s/116GB+Samsung+SSD+840,116GB Samsung SSD 840,57th,6,30.8 +/- 0.5
26,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,57th,10,30.7 +/- 3.9
27,/s/Intel+Xeon+Gold+5217,Intel Xeon Gold 5217,56th,3,30.2 +/- 2.2
28,/s/Intel+Xeon+Silver+4216,Intel Xeon Silver 4216,56th,5,29.8 +/- 0.6
29,/s/Intel+Xeon+Gold+5218,Intel Xeon Gold 5218,56th,4,29.7 +/- 0.8
30,/s/Intel+Core+i5-8400,Intel Core i5-8400,55th,4,28.8 +/- 0.7
31,/s/120GB+Samsung+SSD+850,120GB Samsung SSD 850,53rd,3,26.8 +/- 0.4
32,/s/Intel+Xeon+E3-1280+v5,Intel Xeon E3-1280 v5,52nd,3,26.6 +/- 0.3
33,/s/Intel+Core+i5-6500,Intel Core i5-6500,52nd,3,26.2 +/- 3.8
34,/s/AMD+EPYC+7232P+8-Core,AMD EPYC 7232P 8-Core,51st,4,25.6 +/- 0.1
36,/s/AMD+EPYC+7F52+16-Core,AMD EPYC 7F52 16-Core,50th,3,24.8 +/- 2.4
37,/s/AMD+EPYC+7F72+24-Core,AMD EPYC 7F72 24-Core,50th,4,24.6 +/- 2.6
38,/s/Intel+Core+i7-7500U,Intel Core i7-7500U,50th,3,24.2 +/- 0.1
39,/s/Intel+Core+i7-4790K,Intel Core i7-4790K,49th,3,23.7 +/- 1.2
40,/s/AMD+Ryzen+3+1300X,AMD Ryzen 3 1300X,49th,3,23.2 +/- 1.4
41,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,49th,9,23.1 +/- 0.4
42,/s/Intel+Core+i7-7700,Intel Core i7-7700,48th,3,22.2 +/- 0.2
43,/s/128GB+ADATA+SU800,128GB ADATA SU800,48th,3,22.1 +/- 0.2
44,/s/2+x+Intel+Xeon+Silver+4215R,2 x Intel Xeon Silver 4215R,47th,3,21.5 +/- 0.9
45,/s/AMD+Ryzen+7+1800X+Eight-Core,AMD Ryzen 7 1800X Eight-Core,47th,3,21.4 +/- 0.2
46,/s/Intel+Xeon+E3-1260L+v5,Intel Xeon E3-1260L v5,46th,3,20.8 +/- 0.3
47,/s/2+x+Intel+Xeon+Silver+4216,2 x Intel Xeon Silver 4216,46th,3,20.4 +/- 0.5
48,/s/120GB+SanDisk+SDSSDA12,120GB SanDisk SDSSDA12,46th,3,20.1 +/- 0.1
49,/s/Intel+Core+i5-3470,Intel Core i5-3470,44th,3,18.3 +/- 0.5
50,/s/Intel+Core+i7-4558U,Intel Core i7-4558U,43rd,3,17.0 +/- 1.3
51,/s/80GB+INTEL+SSDSCKGW08,80GB INTEL SSDSCKGW08,40th,3,15.0 +/- 0.1
52,/s/AMD+Ryzen+7+2700+Eight-Core,AMD Ryzen 7 2700 Eight-Core,40th,6,14.6 +/- 0.2
53,/s/1024GB+SAMSUNG+MZVLB1T0HALR-000L7,1024GB SAMSUNG MZVLB1T0HALR-000L7,39th,4,14.4 +/- 0.1
54,/s/Intel+Core+i7-8700B,Intel Core i7-8700B,39th,5,13.5
55,/s/AMD+A10-7870K+Radeon+R7+12+Compute+Cores+4C,AMD A10-7870K Radeon R7 12 Compute Cores 4C,37th,3,12.2 +/- 0.6
56,/s/AMD+A10-7850K+APU,AMD A10-7850K APU,37th,3,10.9 +/- 0.1
57,/s/280GB+INTEL+SSDPE21D280GA,280GB INTEL SSDPE21D280GA,36th,6,10.1 +/- 0.1
58,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,35th,11,9.8 +/- 0.3
59,/s/Intel+Core+i7-4960X,Intel Core i7-4960X,35th,3,9.1
60,/s/Intel+Core+2+T7200,Intel Core 2 T7200,34th,84,7.7
62,/s/4+x+1000GB+INTEL+SSDPELKX010T8,4 x 1000GB INTEL SSDPELKX010T8,18th,3,6.4 +/- 0.2
63,/s/Ampere+eMAG+ARMv8+32-Core,Ampere eMAG ARMv8 32-Core,18th,3,6.2 +/- 0.1
64,/s/128GB+TS128GSSD370S,128GB TS128GSSD370S,10th,5,2.8 +/- 0.1
