,idproc,descproc,percentile,nbproc,perf
0,/s/NVIDIA+GeForce+RTX+3070,NVIDIA GeForce RTX 3070,96th,84,51113
1,/s/NVIDIA+GeForce+RTX+2080+Ti,NVIDIA GeForce RTX 2080 Ti,90th,10,42652 +/- 270
2,/s/Gigabyte+NVIDIA+GeForce+GTX+1060,Gigabyte NVIDIA GeForce GTX 1060,90th,84,42258
3,/s/AMD+Radeon+RX+64,AMD Radeon RX 64,87th,3,31914 +/- 760
4,/s/Zotac+NVIDIA+GeForce+RTX+2080,Zotac NVIDIA GeForce RTX 2080,81st,8,30009 +/- 1816
5,/s/ASUS+NVIDIA+GeForce+RTX+2070,ASUS NVIDIA GeForce RTX 2070,81st,4,29867 +/- 239
6,/s/NVIDIA+GeForce+RTX+2070+Super,NVIDIA GeForce RTX 2070 Super,80th,85,28660
7,/s/AMD+Radeon+RX+56,AMD Radeon RX 56,77th,3,27696 +/- 2729
9,/s/NVIDIA+GeForce+RTX+2070+SUPER,NVIDIA GeForce RTX 2070 SUPER,74th,88,24823 +/- 972
10,/s/NVIDIA+GeForce+RTX+2060,NVIDIA GeForce RTX 2060,68th,8,21436 +/- 261
11,/s/NVIDIA+GeForce+GTX+1080+Ti,NVIDIA GeForce GTX 1080 Ti,65th,180,20975 +/- 375
12,/s/AMD+Radeon+R9+Fury,AMD Radeon R9 Fury,57th,252,18556 +/- 1653
13,/s/ASUS+NVIDIA+GeForce+GTX+1070,ASUS NVIDIA GeForce GTX 1070,57th,84,17570
14,/s/NVIDIA+GeForce+GTX+1070,NVIDIA GeForce GTX 1070,54th,8,17272 +/- 90
15,/s/NVIDIA+GeForce+GTX+980+Ti,NVIDIA GeForce GTX 980 Ti,54th,6,16837 +/- 68
16,/s/Zotac+NVIDIA+GeForce+GTX+1070+Ti,Zotac NVIDIA GeForce GTX 1070 Ti,54th,5,16789 +/- 186
17,/s/NVIDIA+GeForce+GTX+1070+Ti,NVIDIA GeForce GTX 1070 Ti,54th,84,16522
19,/s/eVGA+NVIDIA+GeForce+GTX+1660+Ti,eVGA NVIDIA GeForce GTX 1660 Ti,48th,4,16158 +/- 42
20,/s/ASUS+NVIDIA+GeForce+GTX+1660,ASUS NVIDIA GeForce GTX 1660,48th,3,15278 +/- 133
21,/s/AMD+Radeon+RX+470,AMD Radeon RX 470,48th,3,15086 +/- 153
22,/s/MSI+AMD+Radeon+RX+580,MSI AMD Radeon RX 580,48th,3,14948 +/- 52
23,/s/MSI+AMD+Radeon+RX+470,MSI AMD Radeon RX 470,48th,4,14939 +/- 458
24,/s/AMD+Radeon+RX+580,AMD Radeon RX 580,45th,169,14805 +/- 86
25,/s/NVIDIA+GeForce+GTX+1080,NVIDIA GeForce GTX 1080,42nd,7,13808 +/- 30
26,/s/NVIDIA+GeForce+GTX+980,NVIDIA GeForce GTX 980,42nd,5,13240 +/- 37
27,/s/NVIDIA+GeForce+GTX+1060,NVIDIA GeForce GTX 1060,41st,9,12291 +/- 87
28,/s/NVIDIA+GeForce+GTX+1060+6GB,NVIDIA GeForce GTX 1060 6GB,38th,170,12187 +/- 38
29,/s/eVGA+NVIDIA+GeForce+GTX+970,eVGA NVIDIA GeForce GTX 970,36th,6,11784 +/- 72
30,/s/ASUS+NVIDIA+GeForce+GTX+1650,ASUS NVIDIA GeForce GTX 1650,35th,3,9611 +/- 83
31,/s/AMD+Radeon+Pro+WX+5100,AMD Radeon Pro WX 5100,35th,84,8857
32,/s/NVIDIA+Quadro+P2000,NVIDIA Quadro P2000,33rd,84,8856
33,/s/eVGA+NVIDIA+GeForce+GTX+960,eVGA NVIDIA GeForce GTX 960,27th,4,6679 +/- 72
34,/s/NVIDIA+Quadro+P1000,NVIDIA Quadro P1000,27th,84,5550
36,/s/AMD+Radeon+Pro+WX+4100,AMD Radeon Pro WX 4100,24th,84,5427
37,/s/Intel+HD+4600,Intel HD 4600,21st,86,4962
38,/s/NVIDIA+Quadro+M1000M,NVIDIA Quadro M1000M,18th,84,3730
39,/s/NVIDIA+GeForce+GTX+660,NVIDIA GeForce GTX 660,16th,84,3632
40,/s/Intel+Iris+Pro+6200,Intel Iris Pro 6200,13th,84,3130
41,/s/Intel+UHD+620,Intel UHD 620,10th,84,1723
42,/s/ASUS+NVIDIA+GeForce+GT+710,ASUS NVIDIA GeForce GT 710,7th,84,684
43,/s/NVIDIA+NVS+315,NVIDIA NVS 315,4th,84,254
