,idproc,descproc,percentile,nbproc,perf
0,/s/NVIDIA+GeForce+RTX+3090,NVIDIA GeForce RTX 3090,100th,7,474534687 +/- 9092108
1,/s/NVIDIA+GeForce+RTX+2080+Ti,NVIDIA GeForce RTX 2080 Ti,97th,14,448515015 +/- 1061479
2,/s/NVIDIA+GeForce+RTX+3080,NVIDIA GeForce RTX 3080,95th,73,414283449 +/- 2131426
3,/s/NVIDIA+GeForce+RTX+2080+SUPER,NVIDIA GeForce RTX 2080 SUPER,82nd,9,371104315 +/- 4151327
4,/s/Zotac+NVIDIA+GeForce+RTX+2080,Zotac NVIDIA GeForce RTX 2080,80th,10,344268907 +/- 1500714
5,/s/NVIDIA+GeForce+RTX+2070+SUPER,NVIDIA GeForce RTX 2070 SUPER,78th,10,321956144 +/- 2105631
7,/s/ASUS+NVIDIA+GeForce+RTX+2070,ASUS NVIDIA GeForce RTX 2070,75th,10,283934438 +/- 1387627
8,/s/NVIDIA+GeForce+GTX+1080+Ti,NVIDIA GeForce GTX 1080 Ti,73rd,8,281088332 +/- 23035346
9,/s/NVIDIA+GeForce+RTX+2060+SUPER,NVIDIA GeForce RTX 2060 SUPER,72nd,10,278976852 +/- 6074976
10,/s/NVIDIA+GeForce+RTX+2060,NVIDIA GeForce RTX 2060,70th,9,252608675 +/- 2047677
11,/s/NVIDIA+Quadro+RTX+5000+with+Max-Q+Design,NVIDIA Quadro RTX 5000 with Max-Q Design,70th,3,252545203 +/- 483934
12,/s/NVIDIA+Quadro+RTX+4000,NVIDIA Quadro RTX 4000,69th,3,247718861 +/- 746879
13,/s/NVIDIA+GeForce+GTX+1080,NVIDIA GeForce GTX 1080,67th,12,219269048 +/- 17347846
14,/s/eVGA+NVIDIA+GeForce+GTX+1660+Ti,eVGA NVIDIA GeForce GTX 1660 Ti,66th,7,208984289 +/- 5045468
15,/s/eVGA+NVIDIA+GeForce+GTX+1660+SUPER,eVGA NVIDIA GeForce GTX 1660 SUPER,64th,8,200570065 +/- 780650
16,/s/ASUS+NVIDIA+GeForce+GTX+1660,ASUS NVIDIA GeForce GTX 1660,62nd,5,193795980
17,/s/Zotac+NVIDIA+GeForce+GTX+1070+Ti,Zotac NVIDIA GeForce GTX 1070 Ti,61st,10,193436950 +/- 6523393
18,/s/ASUS+NVIDIA+GeForce+GTX+1650+SUPER,ASUS NVIDIA GeForce GTX 1650 SUPER,60th,6,186025763
19,/s/NVIDIA+GeForce+GTX+1070,NVIDIA GeForce GTX 1070,56th,13,168214834 +/- 16615144
20,/s/NVIDIA+GeForce+GTX+980+Ti,NVIDIA GeForce GTX 980 Ti,53rd,8,144897697 +/- 7692967
21,/s/ASUS+NVIDIA+GeForce+GTX+1650,ASUS NVIDIA GeForce GTX 1650,52nd,6,132266244
23,/s/NVIDIA+GeForce+GTX+1060,NVIDIA GeForce GTX 1060,49th,9,127388041 +/- 7913562
24,/s/NVIDIA+GeForce+GTX+980,NVIDIA GeForce GTX 980,48th,8,115143318 +/- 12031031
25,/s/NVIDIA+GeForce+GTX+1060+6GB,NVIDIA GeForce GTX 1060 6GB,46th,4,112013784 +/- 3583493
26,/s/eVGA+NVIDIA+GeForce+GTX+970,eVGA NVIDIA GeForce GTX 970,46th,8,109080648 +/- 8191291
27,/s/eVGA+NVIDIA+GeForce+GTX+960,eVGA NVIDIA GeForce GTX 960,41st,6,75531457 +/- 6833620
28,/s/eVGA+NVIDIA+GeForce+GTX+1050+Ti,eVGA NVIDIA GeForce GTX 1050 Ti,41st,7,70634905 +/- 6567457
29,/s/NVIDIA+GeForce+GTX+780+Ti,NVIDIA GeForce GTX 780 Ti,41st,5,69584185 +/- 6234128
30,/s/NVIDIA+Quadro+P2000,NVIDIA Quadro P2000,41st,4,68249701 +/- 7060583
31,/s/eVGA+NVIDIA+GeForce+GTX+950,eVGA NVIDIA GeForce GTX 950,37th,8,57543577 +/- 4406965
32,/s/Zotac+NVIDIA+GeForce+GTX+1050,Zotac NVIDIA GeForce GTX 1050,36th,3,50686727 +/- 1883137
33,/s/NVIDIA+GeForce+GTX+680,NVIDIA GeForce GTX 680,34th,9,46177901 +/- 3304604
34,/s/ASUS+NVIDIA+GeForce+GTX+580,ASUS NVIDIA GeForce GTX 580,31st,5,36968264 +/- 1770815
35,/s/NVIDIA+GeForce+GTX+760,NVIDIA GeForce GTX 760,31st,3,36523800 +/- 2617762
36,/s/NVIDIA+GeForce+GTX+750+Ti,NVIDIA GeForce GTX 750 Ti,30th,4,29190775 +/- 3217261
37,/s/MSI+NVIDIA+GeForce+GT+1030,MSI NVIDIA GeForce GT 1030,29th,4,28054668 +/- 2905429
38,/s/NVIDIA+GF100GL,NVIDIA GF100GL,28th,84,26382013
40,/s/ASUS+NVIDIA+GeForce+GTX+860M,ASUS NVIDIA GeForce GTX 860M,13th,3,24720180 +/- 86188
41,/s/Intel+Iris+Plus+G7,Intel Iris Plus G7,13th,7,23899304 +/- 582402
42,/s/eVGA+NVIDIA+GeForce+GTX+750,eVGA NVIDIA GeForce GTX 750,13th,3,23791596 +/- 3092321
43,/s/MSI+NVIDIA+GeForce+GTX+650,MSI NVIDIA GeForce GTX 650,9th,3,12432580 +/- 25090
44,/s/Intel+UHD+620,Intel UHD 620,8th,3,10702353
45,/s/Intel+Kabylake+GT2,Intel Kabylake GT2,6th,5,8727198 +/- 636118
46,/s/Intel+HD+530,Intel HD 530,5th,3,8274880 +/- 758880
