,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,99th,28,0.24 +/- 0.03
1,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,97th,11,0.27
2,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,97th,23,0.27
3,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,96th,23,0.27 +/- 0.01
4,/s/4+x+Intel+Xeon+Gold+6254,4 x Intel Xeon Gold 6254,95th,4,0.28 +/- 0.01
5,/s/2+x+AMD+EPYC+7702+64-Core,2 x AMD EPYC 7702 64-Core,95th,3,0.29
6,/s/2+x+AMD+EPYC+7663+56-Core,2 x AMD EPYC 7663 56-Core,94th,3,0.30 +/- 0.02
7,/s/2+x+AMD+EPYC+7643+48-Core,2 x AMD EPYC 7643 48-Core,94th,3,0.30
8,/s/2+x+Intel+Xeon+Platinum+8360Y,2 x Intel Xeon Platinum 8360Y,94th,4,0.30
9,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,93rd,12,0.31
10,/s/2+x+AMD+EPYC+7543+32-Core,2 x AMD EPYC 7543 32-Core,93rd,8,0.34
11,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,91st,5,0.37
12,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,91st,24,0.37
13,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,90th,16,0.38
14,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,89th,4,0.40
15,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,89th,10,0.42 +/- 0.02
16,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,88th,7,0.44
17,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,87th,10,0.45 +/- 0.02
18,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,87th,15,0.45
19,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,86th,10,0.46
20,/s/2+x+AMD+EPYC+7601+32-Core,2 x AMD EPYC 7601 32-Core,86th,7,0.46 +/- 0.03
21,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,84th,32,0.49 +/- 0.02
22,/s/AMD+EPYC+7662+64-Core,AMD EPYC 7662 64-Core,84th,11,0.49 +/- 0.01
23,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,82nd,11,0.52
24,/s/AMD+EPYC+7643+48-Core,AMD EPYC 7643 48-Core,81st,4,0.53
25,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,81st,6,0.54
26,/s/AMD+EPYC+7642+48-Core,AMD EPYC 7642 48-Core,80th,10,0.57
27,/s/AMD+EPYC+7552+48-Core,AMD EPYC 7552 48-Core,79th,10,0.58
28,/s/2+x+AMD+EPYC+7F52+16-Core,2 x AMD EPYC 7F52 16-Core,79th,3,0.59 +/- 0.01
29,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,78th,8,0.59
30,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,78th,9,0.60
31,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,77th,12,0.61 +/- 0.06
32,/s/2+x+AMD+EPYC+7313+16-Core,2 x AMD EPYC 7313 16-Core,77th,3,0.62
33,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,77th,10,0.62 +/- 0.02
34,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,76th,34,0.67 +/- 0.01
36,/s/Intel+Xeon+Gold+6258R,Intel Xeon Gold 6258R,74th,3,0.71
37,/s/Intel+Xeon+Platinum+8280,Intel Xeon Platinum 8280,73rd,4,0.72 +/- 0.01
38,/s/AMD+EPYC+7542+32-Core,AMD EPYC 7542 32-Core,73rd,8,0.72
39,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,73rd,14,0.74 +/- 0.03
40,/s/2+x+AMD+EPYC+7282+16-Core,2 x AMD EPYC 7282 16-Core,73rd,4,0.76
41,/s/AMD+EPYC+7453+28-Core,AMD EPYC 7453 28-Core,72nd,3,0.76
42,/s/AMD+EPYC+7502+32-Core,AMD EPYC 7502 32-Core,72nd,6,0.78
43,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,71st,6,0.78
44,/s/AMD+EPYC+7502P+32-Core,AMD EPYC 7502P 32-Core,71st,16,0.78
45,/s/AMD+EPYC+7532+32-Core,AMD EPYC 7532 32-Core,69th,10,0.79
46,/s/AMD+Ryzen+Threadripper+2990WX+32-Core,AMD Ryzen Threadripper 2990WX 32-Core,69th,3,0.79 +/- 0.01
47,/s/AMD+EPYC+7443+24-Core,AMD EPYC 7443 24-Core,69th,3,0.84
48,/s/2+x+Intel+Xeon+Gold+5218R,2 x Intel Xeon Gold 5218R,69th,3,0.85 +/- 0.06
