,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,100th,6,11909 +/- 299
1,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,100th,6,11875 +/- 66
2,/s/AMD+Ryzen+5+3600X+6-Core,AMD Ryzen 5 3600X 6-Core,100th,3,11339 +/- 332
3,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,100th,21,11038 +/- 418
4,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,99th,3,10944 +/- 1124
5,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,99th,13,10698 +/- 551
6,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,98th,4,10512 +/- 1142
7,/s/Intel+Core+i7-7900X,Intel Core i7-7900X,98th,13,10438 +/- 526
8,/s/Intel+Core+i9-7960X,Intel Core i9-7960X,98th,21,10427 +/- 1189
9,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,98th,8,10426 +/- 438
10,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,98th,41,10413 +/- 658
11,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,98th,16,10371 +/- 458
12,/s/AMD+Ryzen+Threadripper+2950X+16-Core,AMD Ryzen Threadripper 2950X 16-Core,96th,10,9514 +/- 1413
13,/s/Intel+Xeon+E3-1275+v6,Intel Xeon E3-1275 v6,96th,13,9426 +/- 229
14,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,95th,4,9369 +/- 31
15,/s/Intel+Core+i5-8400,Intel Core i5-8400,95th,17,9353 +/- 226
16,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,95th,8,9301 +/- 184
17,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,94th,3,8969 +/- 1326
18,/s/Intel+Core+i3-8100,Intel Core i3-8100,94th,14,8732 +/- 233
19,/s/AMD+Ryzen+7+2700X+Eight-Core,AMD Ryzen 7 2700X Eight-Core,93rd,7,8273 +/- 144
20,/s/2+x+Intel+Xeon+Gold+6138,2 x Intel Xeon Gold 6138,92nd,18,8157 +/- 371
21,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,91st,10,7967 +/- 147
22,/s/Intel+Xeon+E3-1280+v5,Intel Xeon E3-1280 v5,91st,11,7931 +/- 284
23,/s/Intel+Core+i7-8550U,Intel Core i7-8550U,91st,16,7864 +/- 359
24,/s/Intel+Core+i5-6500,Intel Core i5-6500,91st,8,7778 +/- 185
25,/s/Intel+Xeon+Platinum+8253,Intel Xeon Platinum 8253,90th,3,7749 +/- 49
26,/s/Intel+Core+i5-8250U,Intel Core i5-8250U,90th,15,7747 +/- 178
27,/s/Intel+Core+i7-10510U,Intel Core i7-10510U,90th,5,7666 +/- 838
28,/s/AMD+Ryzen+Threadripper+2990WX+32-Core,AMD Ryzen Threadripper 2990WX 32-Core,89th,15,7408 +/- 403
29,/s/Intel+Core+i5-4670,Intel Core i5-4670,89th,8,7402 +/- 130
30,/s/AMD+Ryzen+5+2600+Six-Core,AMD Ryzen 5 2600 Six-Core,89th,3,7358 +/- 86
31,/s/Intel+Core+i7-5775C,Intel Core i7-5775C,88th,12,7143 +/- 173
32,/s/Intel+Xeon+E5-1680+v3,Intel Xeon E5-1680 v3,87th,10,6634 +/- 141
33,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,86th,4,6529 +/- 133
34,/s/Intel+Core+i7-5960X,Intel Core i7-5960X,86th,10,6438 +/- 182
35,/s/POWER9+altivec+supported+44-Core,POWER9 altivec supported 44-Core,86th,4,6083 +/- 172
36,/s/Intel+Xeon+E5-2687W+v3,Intel Xeon E5-2687W v3,86th,10,6065 +/- 136
37,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,85th,4,5838 +/- 439
38,/s/AMD+EPYC+7601+32-Core,AMD EPYC 7601 32-Core,85th,3,5721 +/- 146
39,/s/Intel+Core+i7-4558U,Intel Core i7-4558U,85th,14,5679 +/- 334
40,/s/Intel+Core+i7-3770K,Intel Core i7-3770K,84th,8,5543 +/- 70
41,/s/Intel+Core+i7-5600U,Intel Core i7-5600U,84th,8,5484 +/- 288
42,/s/Intel+Core+i7-2700K,Intel Core i7-2700K,83rd,15,5342 +/- 67
43,/s/2+x+AMD+EPYC+7601+32-Core,2 x AMD EPYC 7601 32-Core,82nd,19,5260 +/- 346
44,/s/AMD+EPYC+7551+32-Core,AMD EPYC 7551 32-Core,80th,3,5092 +/- 450
45,/s/Intel+Core+i7-4960X,Intel Core i7-4960X,79th,10,5038 +/- 99
47,/s/Intel+Core+i5-5300U,Intel Core i5-5300U,58th,13,4447 +/- 245
48,/s/Intel+Core+i3-2120,Intel Core i3-2120,57th,10,4317 +/- 290
49,/s/Intel+Core+i7+990X,Intel Core i7 990X,56th,8,4071 +/- 43
50,/s/Intel+Core+i5-2520M,Intel Core i5-2520M,55th,13,3758 +/- 215
51,/s/Intel+Core+i3-4130,Intel Core i3-4130,54th,8,3570 +/- 142
