,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,99th,16,22 +/- 1
1,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,98th,15,23
2,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,96th,6,25
3,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,95th,9,26
4,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,94th,11,26
5,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,93rd,3,26
6,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,92nd,4,27
7,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,90th,11,28
8,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,87th,6,29
9,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,86th,14,29 +/- 4
10,/s/AMD+EPYC+7F52+16-Core,AMD EPYC 7F52 16-Core,86th,10,30 +/- 4
11,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,85th,5,30
12,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,83rd,5,31
13,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,82nd,4,31
14,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,81st,4,31
15,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,78th,6,32 +/- 1
16,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,78th,6,32 +/- 3
17,/s/AMD+EPYC+7542+32-Core,AMD EPYC 7542 32-Core,78th,5,32 +/- 1
18,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,77th,9,33 +/- 4
19,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,76th,5,33
21,/s/AMD+EPYC+7532+32-Core,AMD EPYC 7532 32-Core,73rd,6,33 +/- 1
22,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,73rd,3,33
23,/s/AMD+EPYC+7552+48-Core,AMD EPYC 7552 48-Core,71st,6,34 +/- 1
24,/s/AMD+EPYC+7502P+32-Core,AMD EPYC 7502P 32-Core,68th,7,34 +/- 5
