,idproc,descproc,percentile,nbproc,perf
0,/s/NVIDIA+GeForce+RTX+3090,NVIDIA GeForce RTX 3090,84th,358,679 +/- 3
2,/s/NVIDIA+GeForce+RTX+3080+Ti,NVIDIA GeForce RTX 3080 Ti,67th,79,656
3,/s/NVIDIA+GeForce+RTX+3080,NVIDIA GeForce RTX 3080,53rd,88,566 +/- 2
4,/s/NVIDIA+GeForce+RTX+3070+Ti,NVIDIA GeForce RTX 3070 Ti,51st,3,453 +/- 3
6,/s/NVIDIA+GeForce+RTX+3070,NVIDIA GeForce RTX 3070,50th,9,412 +/- 2
7,/s/NVIDIA+GeForce+RTX+3060+Ti,NVIDIA GeForce RTX 3060 Ti,47th,20,382 +/- 2
8,/s/NVIDIA+GeForce+RTX+2080+Ti,NVIDIA GeForce RTX 2080 Ti,44th,83,341 +/- 9
9,/s/eVGA+NVIDIA+GeForce+RTX+3060,eVGA NVIDIA GeForce RTX 3060,38th,6,290 +/- 3
10,/s/NVIDIA+GeForce+RTX+2080+SUPER,NVIDIA GeForce RTX 2080 SUPER,36th,16,264 +/- 6
11,/s/NVIDIA+GeForce+RTX+2070+SUPER,NVIDIA GeForce RTX 2070 SUPER,35th,14,262 +/- 3
12,/s/Zotac+NVIDIA+GeForce+RTX+2080,Zotac NVIDIA GeForce RTX 2080,34th,15,260 +/- 2
13,/s/ASUS+NVIDIA+GeForce+RTX+2070,ASUS NVIDIA GeForce RTX 2070,31st,13,243 +/- 1
14,/s/NVIDIA+GeForce+RTX+2060+SUPER,NVIDIA GeForce RTX 2060 SUPER,30th,15,240 +/- 6
15,/s/NVIDIA+GeForce+RTX+2060,NVIDIA GeForce RTX 2060,29th,15,191 +/- 6
16,/s/NVIDIA+Quadro+RTX+5000+with+Max-Q+Design,NVIDIA Quadro RTX 5000 with Max-Q Design,29th,6,190 +/- 1
18,/s/NVIDIA+GeForce+GTX+1080+Ti,NVIDIA GeForce GTX 1080 Ti,20th,3,188
19,/s/NVIDIA+GeForce+GTX+1080,NVIDIA GeForce GTX 1080,19th,3,131
20,/s/NVIDIA+GeForce+GTX+980,NVIDIA GeForce GTX 980,19th,169,96
21,/s/eVGA+NVIDIA+GeForce+GTX+950,eVGA NVIDIA GeForce GTX 950,2nd,3,43 +/- 1
22,/s/NVIDIA+Quadro+P2000,NVIDIA Quadro P2000,2nd,3,42
