,idproc,descproc,percentile,nbproc,perf
0,/s/NVIDIA+GeForce+RTX+3080,NVIDIA GeForce RTX 3080,72nd,18,3019 +/- 64
2,/s/NVIDIA+GeForce+RTX+2080+Ti,NVIDIA GeForce RTX 2080 Ti,46th,21,2410 +/- 5
3,/s/NVIDIA+GeForce+RTX+3060+Ti,NVIDIA GeForce RTX 3060 Ti,45th,6,1878 +/- 5
4,/s/NVIDIA+GeForce+RTX+2080+SUPER,NVIDIA GeForce RTX 2080 SUPER,44th,16,1800 +/- 34
5,/s/Zotac+NVIDIA+GeForce+RTX+2080,Zotac NVIDIA GeForce RTX 2080,43rd,17,1725 +/- 5
6,/s/NVIDIA+GeForce+GTX+1080+Ti,NVIDIA GeForce GTX 1080 Ti,43rd,5,1725 +/- 50
7,/s/NVIDIA+GeForce+RTX+2070+SUPER,NVIDIA GeForce RTX 2070 SUPER,42nd,13,1708 +/- 6
8,/s/ASUS+NVIDIA+GeForce+RTX+2070,ASUS NVIDIA GeForce RTX 2070,40th,13,1573 +/- 5
9,/s/NVIDIA+GeForce+RTX+2060+SUPER,NVIDIA GeForce RTX 2060 SUPER,40th,13,1569 +/- 30
10,/s/NVIDIA+Quadro+RTX+4000,NVIDIA Quadro RTX 4000,40th,3,1482 +/- 7
11,/s/NVIDIA+GeForce+RTX+2060,NVIDIA GeForce RTX 2060,39th,12,1284 +/- 2
12,/s/NVIDIA+Quadro+RTX+5000+with+Max-Q+Design,NVIDIA Quadro RTX 5000 with Max-Q Design,39th,3,1247 +/- 2
13,/s/NVIDIA+GeForce+GTX+1080,NVIDIA GeForce GTX 1080,38th,9,1149 +/- 11
15,/s/eVGA+NVIDIA+GeForce+GTX+1660+SUPER,eVGA NVIDIA GeForce GTX 1660 SUPER,8th,10,1079 +/- 2
16,/s/NVIDIA+GeForce+GTX+1070,NVIDIA GeForce GTX 1070,8th,8,1042 +/- 23
17,/s/Zotac+NVIDIA+GeForce+GTX+1070+Ti,Zotac NVIDIA GeForce GTX 1070 Ti,8th,8,1039 +/- 69
18,/s/NVIDIA+GeForce+GTX+980+Ti,NVIDIA GeForce GTX 980 Ti,7th,7,1024 +/- 15
19,/s/eVGA+NVIDIA+GeForce+GTX+1660+Ti,eVGA NVIDIA GeForce GTX 1660 Ti,7th,9,1023 +/- 24
20,/s/ASUS+NVIDIA+GeForce+GTX+1660,ASUS NVIDIA GeForce GTX 1660,6th,6,852 +/- 18
21,/s/NVIDIA+GeForce+GTX+980,NVIDIA GeForce GTX 980,6th,7,801 +/- 19
22,/s/NVIDIA+GeForce+GTX+1060,NVIDIA GeForce GTX 1060,5th,11,771 +/- 15
23,/s/ASUS+NVIDIA+GeForce+GTX+1650+SUPER,ASUS NVIDIA GeForce GTX 1650 SUPER,5th,7,740 +/- 1
24,/s/eVGA+NVIDIA+GeForce+GTX+970,eVGA NVIDIA GeForce GTX 970,4th,7,710 +/- 17
25,/s/ASUS+NVIDIA+GeForce+GTX+1650,ASUS NVIDIA GeForce GTX 1650,4th,7,574
26,/s/eVGA+NVIDIA+GeForce+GTX+1050+Ti,eVGA NVIDIA GeForce GTX 1050 Ti,3rd,4,481
27,/s/eVGA+NVIDIA+GeForce+GTX+960,eVGA NVIDIA GeForce GTX 960,3rd,4,434
28,/s/NVIDIA+Quadro+P2000,NVIDIA Quadro P2000,3rd,3,425
29,/s/eVGA+NVIDIA+GeForce+GTX+950,eVGA NVIDIA GeForce GTX 950,3rd,4,408
30,/s/Intel+Iris+Plus+G7,Intel Iris Plus G7,2nd,7,242 +/- 6
31,/s/Intel+UHD+620,Intel UHD 620,2nd,3,116
