,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,100th,9,2
1,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,99th,6,3
2,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,99th,10,3
3,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,97th,6,4
4,/s/2+x+AMD+EPYC+7502+32-Core,2 x AMD EPYC 7502 32-Core,96th,3,4
5,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,95th,5,4
6,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,95th,4,5
7,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,95th,7,5
8,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,93rd,3,5
9,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,91st,5,5
10,/s/Ampere+Altra+ARMv8+Neoverse-N1+160-Core,Ampere Altra ARMv8 Neoverse-N1 160-Core,91st,3,5
11,/s/2+x+AMD+EPYC+7601+32-Core,2 x AMD EPYC 7601 32-Core,90th,12,5
12,/s/2+x+AMD+EPYC+7352+24-Core,2 x AMD EPYC 7352 24-Core,88th,3,6
13,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,87th,15,6
14,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,87th,6,6
15,/s/2+x+Intel+Xeon+Gold+6254,2 x Intel Xeon Gold 6254,86th,3,7
16,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,85th,9,7
17,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,84th,3,7
18,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,83rd,3,8 +/- 1
19,/s/Intel+Xeon+Platinum+8280,Intel Xeon Platinum 8280,82nd,4,8 +/- 1
20,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,76th,20,11
22,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,75th,27,12 +/- 1
