,idproc,descproc,percentile,nbproc,perf
0,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,98th,18,116 +/- 6
1,/s/Intel+Core+i5-11600K,Intel Core i5-11600K,98th,3,120
2,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,96th,30,122 +/- 2
3,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,94th,26,124 +/- 2
4,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,92nd,11,126 +/- 2
5,/s/Intel+Core+i7-1185G7,Intel Core i7-1185G7,91st,3,130 +/- 2
6,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,90th,10,133 +/- 5
7,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,85th,7,141 +/- 4
8,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,85th,11,141 +/- 6
9,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,84th,31,142 +/- 12
10,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,84th,7,145 +/- 19
11,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,83rd,5,146 +/- 5
12,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,83rd,7,147 +/- 3
13,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,83rd,3,149 +/- 1
14,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,83rd,4,149 +/- 6
15,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,82nd,17,150 +/- 21
16,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,82nd,6,150 +/- 1
17,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,81st,4,151 +/- 3
18,/s/Intel+Core+i7-7900X,Intel Core i7-7900X,79th,3,154
19,/s/AMD+Ryzen+5+PRO+4650G,AMD Ryzen 5 PRO 4650G,77th,8,157 +/- 1
20,/s/Intel+Core+i3-10100,Intel Core i3-10100,76th,10,158 +/- 3
21,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,76th,10,158 +/- 5
22,/s/Ampere+Altra+ARMv8+Neoverse-N1+160-Core,Ampere Altra ARMv8 Neoverse-N1 160-Core,76th,5,158 +/- 12
24,/s/AMD+Ryzen+3+3300X+4-Core,AMD Ryzen 3 3300X 4-Core,74th,4,159 +/- 3
25,/s/2+x+Intel+Xeon+Gold+6250,2 x Intel Xeon Gold 6250,74th,3,160 +/- 13
26,/s/Intel+Xeon+Gold+6250,Intel Xeon Gold 6250,74th,3,160 +/- 13
27,/s/Intel+Core+i7-10875H,Intel Core i7-10875H,68th,6,161 +/- 3
28,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,68th,17,161 +/- 6
29,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,68th,3,161 +/- 7
30,/s/Intel+Core+i7-1065G7,Intel Core i7-1065G7,66th,7,163 +/- 15
31,/s/AMD+Ryzen+7+3800X+8-Core,AMD Ryzen 7 3800X 8-Core,66th,4,163 +/- 1
