,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,100th,13,556 +/- 3
1,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,100th,6,498 +/- 12
2,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,98th,20,471 +/- 42
3,/s/2+x+AMD+EPYC+7643+48-Core,2 x AMD EPYC 7643 48-Core,98th,3,463 +/- 1
4,/s/2+x+AMD+EPYC+7663+56-Core,2 x AMD EPYC 7663 56-Core,98th,3,418 +/- 1
5,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,97th,7,396 +/- 14
6,/s/2+x+AMD+EPYC+7552+48-Core,2 x AMD EPYC 7552 48-Core,96th,6,387 +/- 21
7,/s/2+x+AMD+EPYC+7642+48-Core,2 x AMD EPYC 7642 48-Core,96th,6,382 +/- 28
8,/s/2+x+AMD+EPYC+7543+32-Core,2 x AMD EPYC 7543 32-Core,95th,3,358 +/- 10
9,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,95th,5,347 +/- 3
10,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,94th,4,336 +/- 1
11,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,94th,5,335 +/- 1
12,/s/2+x+AMD+EPYC+74F3+24-Core,2 x AMD EPYC 74F3 24-Core,93rd,3,322 +/- 7
13,/s/2+x+AMD+EPYC+7542+32-Core,2 x AMD EPYC 7542 32-Core,93rd,6,321 +/- 11
14,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,91st,36,315 +/- 6
15,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,90th,6,312 +/- 3
16,/s/2+x+AMD+EPYC+7502+32-Core,2 x AMD EPYC 7502 32-Core,89th,6,296 +/- 9
17,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,89th,5,294 +/- 3
18,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,87th,7,289 +/- 5
19,/s/2+x+AMD+EPYC+7532+32-Core,2 x AMD EPYC 7532 32-Core,87th,8,288 +/- 7
20,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,85th,4,269 +/- 2
21,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,85th,5,269 +/- 4
22,/s/2+x+AMD+EPYC+7452+32-Core,2 x AMD EPYC 7452 32-Core,85th,6,268 +/- 4
23,/s/2+x+AMD+EPYC+7402+24-Core,2 x AMD EPYC 7402 24-Core,85th,6,257 +/- 5
24,/s/2+x+Intel+Xeon+Gold+6258R,2 x Intel Xeon Gold 6258R,83rd,6,253 +/- 7
25,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,83rd,7,252
26,/s/AMD+EPYC+7643+48-Core,AMD EPYC 7643 48-Core,82nd,3,248
27,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,82nd,13,244
28,/s/AMD+EPYC+7662+64-Core,AMD EPYC 7662 64-Core,80th,10,243
29,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,80th,16,242 +/- 25
30,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,79th,5,235 +/- 1
31,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,78th,13,229 +/- 2
32,/s/2+x+AMD+EPYC+7F52+16-Core,2 x AMD EPYC 7F52 16-Core,78th,6,228 +/- 4
33,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,77th,7,227 +/- 2
34,/s/2+x+AMD+EPYC+7352+24-Core,2 x AMD EPYC 7352 24-Core,76th,6,221 +/- 5
36,/s/AMD+EPYC+7642+48-Core,AMD EPYC 7642 48-Core,75th,21,219 +/- 1
37,/s/AMD+EPYC+7552+48-Core,AMD EPYC 7552 48-Core,74th,9,218 +/- 1
38,/s/2+x+Intel+Xeon+Gold+6230R,2 x Intel Xeon Gold 6230R,72nd,3,207 +/- 1
39,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,72nd,6,207
40,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,70th,7,184 +/- 1
41,/s/AMD+EPYC+7542+32-Core,AMD EPYC 7542 32-Core,70th,7,183
42,/s/AMD+EPYC+7453+28-Core,AMD EPYC 7453 28-Core,69th,3,176
43,/s/2+x+AMD+EPYC+7282+16-Core,2 x AMD EPYC 7282 16-Core,68th,6,175 +/- 2
44,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,68th,4,175 +/- 1
45,/s/AMD+EPYC+7502+32-Core,AMD EPYC 7502 32-Core,68th,5,168
46,/s/AMD+EPYC+7502P+32-Core,AMD EPYC 7502P 32-Core,68th,12,168
47,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,66th,7,164 +/- 2
