,idproc,descproc,percentile,nbproc,perf
0,/s/NVIDIA+GeForce+RTX+3080+Ti,NVIDIA GeForce RTX 3080 Ti,99th,3,143
1,/s/NVIDIA+GeForce+RTX+3090,NVIDIA GeForce RTX 3090,93rd,358,155 +/- 1
3,/s/NVIDIA+GeForce+RTX+3080,NVIDIA GeForce RTX 3080,60th,25,165 +/- 1
4,/s/NVIDIA+GeForce+RTX+3070+Ti,NVIDIA GeForce RTX 3070 Ti,58th,3,202 +/- 2
5,/s/NVIDIA+GeForce+RTX+3070,NVIDIA GeForce RTX 3070,58th,9,228 +/- 1
6,/s/NVIDIA+GeForce+RTX+3060+Ti,NVIDIA GeForce RTX 3060 Ti,54th,19,240 +/- 1
7,/s/NVIDIA+GeForce+RTX+2080+Ti,NVIDIA GeForce RTX 2080 Ti,51st,23,247 +/- 1
9,/s/eVGA+NVIDIA+GeForce+RTX+3060,eVGA NVIDIA GeForce RTX 3060,31st,6,303 +/- 2
10,/s/NVIDIA+GeForce+RTX+2080+SUPER,NVIDIA GeForce RTX 2080 SUPER,29th,19,325 +/- 2
11,/s/Zotac+NVIDIA+GeForce+RTX+2080,Zotac NVIDIA GeForce RTX 2080,27th,18,342 +/- 2
13,/s/NVIDIA+GeForce+RTX+2070+SUPER,NVIDIA GeForce RTX 2070 SUPER,25th,18,350 +/- 1
14,/s/ASUS+NVIDIA+GeForce+RTX+2070,ASUS NVIDIA GeForce RTX 2070,24th,18,375 +/- 2
15,/s/NVIDIA+GeForce+RTX+2060+SUPER,NVIDIA GeForce RTX 2060 SUPER,21st,18,381 +/- 8
16,/s/NVIDIA+Quadro+RTX+4000,NVIDIA Quadro RTX 4000,20th,5,385 +/- 6
17,/s/NVIDIA+Quadro+RTX+5000+with+Max-Q+Design,NVIDIA Quadro RTX 5000 with Max-Q Design,20th,5,458 +/- 2
18,/s/NVIDIA+GeForce+RTX+2060,NVIDIA GeForce RTX 2060,18th,19,476 +/- 10
19,/s/NVIDIA+GeForce+GTX+1080+Ti,NVIDIA GeForce GTX 1080 Ti,8th,3,515 +/- 1
20,/s/NVIDIA+GeForce+GTX+1080,NVIDIA GeForce GTX 1080,7th,8,744 +/- 4
21,/s/NVIDIA+GeForce+GTX+1070,NVIDIA GeForce GTX 1070,6th,3,755
22,/s/eVGA+NVIDIA+GeForce+GTX+1660+SUPER,eVGA NVIDIA GeForce GTX 1660 SUPER,6th,6,759 +/- 4
23,/s/NVIDIA+GeForce+GTX+980+Ti,NVIDIA GeForce GTX 980 Ti,5th,5,766 +/- 1
24,/s/eVGA+NVIDIA+GeForce+GTX+1660+Ti,eVGA NVIDIA GeForce GTX 1660 Ti,4th,6,802 +/- 24
25,/s/ASUS+NVIDIA+GeForce+GTX+1660,ASUS NVIDIA GeForce GTX 1660,4th,4,896
26,/s/NVIDIA+GeForce+GTX+980,NVIDIA GeForce GTX 980,4th,4,1002
27,/s/NVIDIA+GeForce+GTX+1060,NVIDIA GeForce GTX 1060,3rd,5,1058 +/- 5
28,/s/eVGA+NVIDIA+GeForce+GTX+970,eVGA NVIDIA GeForce GTX 970,2nd,5,1116 +/- 2
29,/s/ASUS+NVIDIA+GeForce+GTX+1650+SUPER,ASUS NVIDIA GeForce GTX 1650 SUPER,2nd,4,1215
30,/s/ASUS+NVIDIA+GeForce+GTX+1650,ASUS NVIDIA GeForce GTX 1650,2nd,4,1400
31,/s/NVIDIA+Quadro+P2000,NVIDIA Quadro P2000,1st,3,1928 +/- 1
32,/s/eVGA+NVIDIA+GeForce+GTX+950,eVGA NVIDIA GeForce GTX 950,1st,3,2146 +/- 26
