,idproc,descproc,percentile,nbproc,perf
0,/s/NVIDIA+GeForce+RTX+3090,NVIDIA GeForce RTX 3090,100th,5,254 +/- 1
1,/s/NVIDIA+GeForce+RTX+3080,NVIDIA GeForce RTX 3080,96th,14,242 +/- 28
2,/s/AMD+Radeon+RX+6800+XT,AMD Radeon RX 6800 XT,96th,4,242 +/- 3
3,/s/AMD+Radeon+RX+6800,AMD Radeon RX 6800,93rd,9,237 +/- 10
4,/s/NVIDIA+GeForce+RTX+3070,NVIDIA GeForce RTX 3070,90th,5,211 +/- 12
5,/s/NVIDIA+GeForce+RTX+2080+Ti,NVIDIA GeForce RTX 2080 Ti,87th,11,197 +/- 13
6,/s/AMD+Radeon+RX+6700+XT,AMD Radeon RX 6700 XT,86th,4,190 +/- 10
7,/s/NVIDIA+GeForce+RTX+3060+Ti,NVIDIA GeForce RTX 3060 Ti,86th,8,186 +/- 10
8,/s/AMD+Navi+22,AMD Navi 22,84th,6,179 +/- 4
10,/s/Zotac+NVIDIA+GeForce+RTX+2080,Zotac NVIDIA GeForce RTX 2080,71st,14,157 +/- 4
11,/s/NVIDIA+GeForce+GTX+1080+Ti,NVIDIA GeForce GTX 1080 Ti,71st,5,155 +/- 2
12,/s/NVIDIA+GeForce+RTX+2070+SUPER,NVIDIA GeForce RTX 2070 SUPER,71st,8,155 +/- 8
13,/s/eVGA+NVIDIA+GeForce+RTX+3060,eVGA NVIDIA GeForce RTX 3060,58th,6,143 +/- 8
14,/s/NVIDIA+GeForce+RTX+2060+SUPER,NVIDIA GeForce RTX 2060 SUPER,52nd,8,133 +/- 8
16,/s/ASUS+NVIDIA+GeForce+RTX+2070,ASUS NVIDIA GeForce RTX 2070,49th,13,132 +/- 3
17,/s/AMD+Radeon+RX+5600+OEM,AMD Radeon RX 5600 OEM,43rd,25,128 +/- 5
18,/s/AMD+Radeon+RX+6600+XT,AMD Radeon RX 6600 XT,43rd,3,128 +/- 3
19,/s/AMD+Navi+10,AMD Navi 10,41st,21,125 +/- 7
20,/s/NVIDIA+GeForce+GTX+1080,NVIDIA GeForce GTX 1080,35th,4,116 +/- 1
21,/s/NVIDIA+GeForce+RTX+2060,NVIDIA GeForce RTX 2060,33rd,11,114 +/- 5
22,/s/Sapphire+AMD+Radeon+RX+5600+OEM,Sapphire AMD Radeon RX 5600 OEM,28th,9,109 +/- 2
24,/s/AMD+Radeon+RX+56,AMD Radeon RX 56,22nd,20,103 +/- 7
25,/s/eVGA+NVIDIA+GeForce+GTX+1660+SUPER,eVGA NVIDIA GeForce GTX 1660 SUPER,19th,4,96 +/- 5
26,/s/NVIDIA+GeForce+GTX+1070,NVIDIA GeForce GTX 1070,18th,3,94 +/- 2
27,/s/eVGA+NVIDIA+GeForce+GTX+1660+Ti,eVGA NVIDIA GeForce GTX 1660 Ti,16th,3,90 +/- 2
28,/s/Sapphire+AMD+Radeon+RX+470,Sapphire AMD Radeon RX 470,12th,14,76 +/- 5
29,/s/ASUS+NVIDIA+GeForce+GTX+1660,ASUS NVIDIA GeForce GTX 1660,9th,3,71
30,/s/NVIDIA+GeForce+GTX+1060,NVIDIA GeForce GTX 1060,9th,3,71 +/- 5
31,/s/Gigabyte+AMD+NAVI14,Gigabyte AMD NAVI14,7th,3,69 +/- 1
32,/s/MSI+AMD+Radeon+RX+470,MSI AMD Radeon RX 470,6th,10,68 +/- 5
