,idproc,descproc,percentile,nbproc,perf
0,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,96th,14,942 +/- 29
1,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,93rd,8,928 +/- 41
2,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,93rd,28,927 +/- 63
3,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,92nd,13,924 +/- 9
4,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,92nd,22,923 +/- 77
5,/s/AMD+EPYC+72F3+8-Core,AMD EPYC 72F3 8-Core,91st,4,920 +/- 12
6,/s/Intel+Core+i5-11600K,Intel Core i5-11600K,91st,5,919 +/- 14
7,/s/AMD+Ryzen+7+5700G,AMD Ryzen 7 5700G,89th,11,893 +/- 37
8,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,88th,4,882 +/- 1
9,/s/AMD+EPYC+73F3+16-Core,AMD EPYC 73F3 16-Core,88th,4,882
10,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,87th,4,879
11,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,87th,7,879 +/- 2
12,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,86th,7,875 +/- 24
13,/s/AMD+Ryzen+5+5600G,AMD Ryzen 5 5600G,85th,12,874 +/- 29
14,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,83rd,9,845 +/- 3
15,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,79th,14,806 +/- 120
16,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,78th,4,798 +/- 1
17,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,77th,6,796 +/- 10
18,/s/AMD+Ryzen+9+5900HX,AMD Ryzen 9 5900HX,77th,7,796 +/- 3
20,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,75th,8,790 +/- 39
21,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,75th,7,788 +/- 3
22,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,73rd,4,782 +/- 2
23,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,73rd,3,779 +/- 1
24,/s/AMD+Ryzen+5+5500U,AMD Ryzen 5 5500U,72nd,10,776 +/- 4
25,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,72nd,3,773
26,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,71st,15,770 +/- 91
27,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,69th,5,760 +/- 6
28,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,69th,15,758 +/- 4
29,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,69th,7,758 +/- 20
30,/s/AMD+Ryzen+5+4500U,AMD Ryzen 5 4500U,66th,11,748 +/- 31
31,/s/2+x+AMD+EPYC+7F52+16-Core,2 x AMD EPYC 7F52 16-Core,66th,3,743 +/- 4
32,/s/AMD+EPYC+7F32+8-Core,AMD EPYC 7F32 8-Core,66th,5,743 +/- 6
33,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,65th,14,742 +/- 100
34,/s/Intel+Core+i7-1065G7,Intel Core i7-1065G7,64th,10,738 +/- 11
35,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,63rd,6,735 +/- 16
36,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,63rd,6,734 +/- 4
37,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,62nd,7,724 +/- 85
38,/s/Intel+Core+i9-10885H,Intel Core i9-10885H,61st,8,712 +/- 20
39,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,61st,13,709 +/- 9
40,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,60th,3,705 +/- 1
41,/s/AMD+EPYC+7F52+16-Core,AMD EPYC 7F52 16-Core,60th,7,703 +/- 45
42,/s/Intel+Core+i7-7740K,Intel Core i7-7740K,58th,3,687 +/- 2
43,/s/AMD+Ryzen+Threadripper+2950X+16-Core,AMD Ryzen Threadripper 2950X 16-Core,58th,3,685 +/- 3
44,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,58th,5,683 +/- 66
45,/s/AMD+Ryzen+5+3600XT+6-Core,AMD Ryzen 5 3600XT 6-Core,57th,4,676 +/- 2
46,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,56th,4,673 +/- 3
47,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,56th,8,672 +/- 6
