,idproc,descproc,percentile,nbproc,perf
0,/s/Intel+Core+i3-10110U,Intel Core i3-10110U,94th,6,7825 +/- 1157
1,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,91st,19,8754 +/- 895
2,/s/Intel+Celeron+N4020,Intel Celeron N4020,89th,5,10122 +/- 720
3,/s/Intel+Core+i5-2400,Intel Core i5-2400,85th,3,11952
4,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,83rd,3,12620 +/- 1639
5,/s/Intel+Xeon+E3-1245+v5,Intel Xeon E3-1245 v5,77th,43,14243 +/- 1066
7,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,75th,37,14683 +/- 374
8,/s/Intel+Xeon+E5-2609+v4,Intel Xeon E5-2609 v4,67th,22,17341 +/- 508
9,/s/Intel+Core+i5-7300HQ,Intel Core i5-7300HQ,64th,3,21127 +/- 227
10,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,62nd,3,24050
11,/s/AMD+Ryzen+3+3200U,AMD Ryzen 3 3200U,59th,3,25050
12,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,57th,3,26028
13,/s/AMD+Ryzen+7+2700+Eight-Core,AMD Ryzen 7 2700 Eight-Core,56th,3,26056
15,/s/Intel+Core+i5-9400F,Intel Core i5-9400F,49th,3,29330
16,/s/AMD+Ryzen+5+2600+Six-Core,AMD Ryzen 5 2600 Six-Core,48th,15,30348
17,/s/2+x+AMD+Opteron+270,2 x AMD Opteron 270,45th,4,31133
18,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,42nd,9,34515 +/- 4272
19,/s/Intel+Core+i3-7100,Intel Core i3-7100,34th,12,39717 +/- 152
20,/s/AMD+Ryzen+3+1200,AMD Ryzen 3 1200,34th,9,39724 +/- 1604
21,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,34th,3,40037
22,/s/AMD+A10-7870K+Radeon+R7+12+Compute+Cores+4C,AMD A10-7870K Radeon R7 12 Compute Cores 4C,33rd,12,41216 +/- 1956
23,/s/AMD+FX-8370+Eight-Core,AMD FX-8370 Eight-Core,33rd,3,41257 +/- 3140
24,/s/Intel+Core+i5-8400,Intel Core i5-8400,31st,13,42965 +/- 3800
25,/s/Intel+Core+i7+920,Intel Core i7 920,28th,9,46772
