,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,99th,23,9
1,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,98th,23,10
2,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,97th,9,10
3,/s/2+x+AMD+EPYC+7663+56-Core,2 x AMD EPYC 7663 56-Core,97th,3,10
4,/s/2+x+AMD+EPYC+7643+48-Core,2 x AMD EPYC 7643 48-Core,96th,3,12
5,/s/2+x+AMD+EPYC+7642+48-Core,2 x AMD EPYC 7642 48-Core,96th,6,12
6,/s/2+x+AMD+EPYC+7552+48-Core,2 x AMD EPYC 7552 48-Core,95th,6,13
7,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,95th,12,13
8,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,94th,10,14
9,/s/2+x+AMD+EPYC+7543+32-Core,2 x AMD EPYC 7543 32-Core,94th,3,14
10,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,93rd,5,15
11,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,92nd,25,15 +/- 1
12,/s/2+x+AMD+EPYC+7542+32-Core,2 x AMD EPYC 7542 32-Core,92nd,6,15
13,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,91st,4,16
14,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,91st,14,16
15,/s/2+x+AMD+EPYC+7502+32-Core,2 x AMD EPYC 7502 32-Core,90th,6,16
16,/s/2+x+AMD+EPYC+74F3+24-Core,2 x AMD EPYC 74F3 24-Core,89th,3,17
17,/s/2+x+AMD+EPYC+7532+32-Core,2 x AMD EPYC 7532 32-Core,89th,8,17
18,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,88th,7,18
19,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,87th,7,18
20,/s/2+x+AMD+EPYC+7452+32-Core,2 x AMD EPYC 7452 32-Core,87th,6,18
21,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,87th,15,18
22,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,86th,8,18
23,/s/AMD+EPYC+7662+64-Core,AMD EPYC 7662 64-Core,85th,12,19
24,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,84th,16,19
25,/s/2+x+AMD+EPYC+7402+24-Core,2 x AMD EPYC 7402 24-Core,83rd,6,20 +/- 1
26,/s/AMD+EPYC+7643+48-Core,AMD EPYC 7643 48-Core,82nd,3,21
27,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,81st,7,22
28,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,81st,20,23 +/- 2
