,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,99th,18,3897 +/- 22
1,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,96th,8,4296 +/- 25
2,/s/2+x+AMD+EPYC+7663+56-Core,2 x AMD EPYC 7663 56-Core,96th,3,4369 +/- 1
3,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,94th,12,4411 +/- 25
4,/s/Ampere+Altra+ARMv8+Neoverse-N1+160-Core,Ampere Altra ARMv8 Neoverse-N1 160-Core,92nd,7,4846 +/- 51
5,/s/2+x+AMD+EPYC+7643+48-Core,2 x AMD EPYC 7643 48-Core,92nd,3,5013 +/- 4
6,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,90th,16,5992 +/- 89
7,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,88th,7,6487 +/- 90
8,/s/2+x+AMD+EPYC+7543+32-Core,2 x AMD EPYC 7543 32-Core,86th,6,6624 +/- 12
9,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,85th,5,6865 +/- 46
10,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,85th,15,6992 +/- 616
11,/s/2+x+AMD+EPYC+7453+28-Core,2 x AMD EPYC 7453 28-Core,82nd,4,7589 +/- 54
12,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,82nd,3,7596 +/- 16
13,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,78th,7,7904 +/- 49
14,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,78th,18,7905 +/- 104
15,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,78th,5,7906 +/- 35
16,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,77th,4,7983 +/- 48
