,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,100th,58,1999491 +/- 105382
1,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,100th,28,1947027 +/- 48789
2,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,100th,13,1940926 +/- 26507
3,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,100th,18,1903499 +/- 37906
4,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,100th,14,1822764 +/- 110095
5,/s/Intel+Core+i5-11600K,Intel Core i5-11600K,100th,5,1721062 +/- 4977
6,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,100th,13,1704971 +/- 38198
7,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,100th,8,1688282 +/- 112542
8,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,100th,40,1651177 +/- 48521
9,/s/Intel+Core+i7-9700K,Intel Core i7-9700K,100th,9,1641227 +/- 83435
10,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,100th,15,1584757 +/- 123694
11,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,100th,30,1573475 +/- 79956
12,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,100th,8,1556429 +/- 75736
13,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,100th,11,1521802 +/- 100567
14,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,100th,17,1512057 +/- 16794
15,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,100th,17,1489817 +/- 63836
16,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,100th,10,1489664 +/- 110574
17,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,100th,5,1487707 +/- 16234
18,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,100th,6,1466529 +/- 9078
19,/s/Intel+Core+i7-1065G7,Intel Core i7-1065G7,100th,13,1452547 +/- 116762
20,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,100th,14,1452297 +/- 76495
21,/s/Intel+Core+i7-4790K,Intel Core i7-4790K,100th,16,1441917 +/- 57553
22,/s/Intel+Xeon+E-2286M,Intel Xeon E-2286M,100th,6,1434487 +/- 71253
23,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,100th,80,1403777 +/- 100936
24,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,100th,6,1402464 +/- 2750
25,/s/Intel+Core+i9-7960X,Intel Core i9-7960X,100th,8,1387072 +/- 71629
26,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,100th,8,1377685 +/- 60249
27,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,100th,9,1371560 +/- 127172
28,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,100th,20,1368337 +/- 79670
29,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,100th,45,1364175 +/- 26334
30,/s/Intel+Core+i3-10100,Intel Core i3-10100,100th,5,1359152 +/- 11980
31,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,100th,25,1357281 +/- 55810
32,/s/Intel+Core+i7-5820K,Intel Core i7-5820K,100th,15,1355752 +/- 158668
33,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,100th,23,1345438 +/- 98336
34,/s/Intel+Core+i7-5930K,Intel Core i7-5930K,100th,6,1344529 +/- 70532
35,/s/Intel+Core+i7-6700K,Intel Core i7-6700K,100th,16,1343657 +/- 109665
36,/s/AMD+Ryzen+5+3600X+6-Core,AMD Ryzen 5 3600X 6-Core,100th,7,1332081 +/- 11464
37,/s/Intel+Core+i7-9750H,Intel Core i7-9750H,100th,5,1331535 +/- 75601
38,/s/Intel+Xeon+Gold+6212U,Intel Xeon Gold 6212U,100th,4,1326543 +/- 1806
39,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,100th,5,1316041 +/- 25237
40,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,100th,46,1313825 +/- 55615
41,/s/AMD+Ryzen+7+3800X+8-Core,AMD Ryzen 7 3800X 8-Core,100th,6,1313435 +/- 34262
42,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,100th,28,1313016 +/- 42696
43,/s/Intel+Xeon+Gold+6210U,Intel Xeon Gold 6210U,100th,7,1309938 +/- 39016
44,/s/Intel+Pentium+G3258,Intel Pentium G3258,100th,7,1305866 +/- 148099
45,/s/Intel+Core+i7-7567U,Intel Core i7-7567U,100th,4,1304936 +/- 26188
46,/s/2+x+Intel+Xeon+Gold+6230,2 x Intel Xeon Gold 6230,100th,7,1299358 +/- 40379
47,/s/Intel+Core+i5-4670,Intel Core i5-4670,100th,11,1290476 +/- 30199
