,idproc,descproc,percentile,nbproc,perf
0,/s/NVIDIA+GeForce+RTX+3090,NVIDIA GeForce RTX 3090,100th,15,365 +/- 1
1,/s/NVIDIA+GeForce+RTX+3080+Ti,NVIDIA GeForce RTX 3080 Ti,99th,4,357 +/- 1
2,/s/NVIDIA+GeForce+RTX+3080,NVIDIA GeForce RTX 3080,99th,70,353 +/- 1
3,/s/NVIDIA+GeForce+RTX+2080+Ti,NVIDIA GeForce RTX 2080 Ti,90th,7,306 +/- 2
4,/s/NVIDIA+GeForce+RTX+3060+Ti,NVIDIA GeForce RTX 3060 Ti,87th,13,290 +/- 1
5,/s/NVIDIA+GeForce+RTX+3070,NVIDIA GeForce RTX 3070,86th,13,289 +/- 6
6,/s/NVIDIA+GeForce+RTX+2080+SUPER,NVIDIA GeForce RTX 2080 SUPER,86th,5,288
7,/s/NVIDIA+GeForce+RTX+2070+SUPER,NVIDIA GeForce RTX 2070 SUPER,85th,5,280 +/- 2
8,/s/Zotac+NVIDIA+GeForce+RTX+2080,Zotac NVIDIA GeForce RTX 2080,84th,5,279 +/- 1
9,/s/NVIDIA+GeForce+RTX+2060+SUPER,NVIDIA GeForce RTX 2060 SUPER,83rd,10,277 +/- 1
10,/s/eVGA+NVIDIA+GeForce+RTX+3060,eVGA NVIDIA GeForce RTX 3060,82nd,5,273 +/- 2
11,/s/ASUS+NVIDIA+GeForce+RTX+2070,ASUS NVIDIA GeForce RTX 2070,81st,7,270 +/- 1
13,/s/NVIDIA+Quadro+RTX+4000,NVIDIA Quadro RTX 4000,40th,588,248 +/- 3
15,/s/NVIDIA+GeForce+RTX+2060,NVIDIA GeForce RTX 2060,8th,10,216 +/- 4
16,/s/Intel+Xe+TGL+GT2,Intel Xe TGL GT2,7th,5,53
17,/s/Intel+Iris+Plus+ICL+GT2,Intel Iris Plus ICL GT2,7th,5,34
18,/s/ASUS+Intel+UHD+630+CML+GT2,ASUS Intel UHD 630 CML GT2,6th,3,31
19,/s/Intel+UHD+630+CML+GT2,Intel UHD 630 CML GT2,5th,5,29
20,/s/ASUS+Intel+UHD+630+CFL+GT2,ASUS Intel UHD 630 CFL GT2,5th,9,29 +/- 3
21,/s/Intel+UHD+620+WHL+GT2,Intel UHD 620 WHL GT2,4th,6,24
22,/s/Gigabyte+Intel+HD+530+SKL+GT2,Gigabyte Intel HD 530 SKL GT2,3rd,3,23
23,/s/Intel+HD+530+SKL+GT2,Intel HD 530 SKL GT2,3rd,5,21
24,/s/Intel+UHD+620+KBL+GT2,Intel UHD 620 KBL GT2,2nd,3,20
