,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,100th,13,101 +/- 5
1,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,100th,4,102
2,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,100th,4,102 +/- 1
3,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,98th,3,103 +/- 1
4,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,96th,9,105 +/- 1
5,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,95th,4,106
6,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,92nd,5,110
7,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,91st,3,112
8,/s/AMD+EPYC+7543+32-Core,AMD EPYC 7543 32-Core,89th,4,114
9,/s/2+x+AMD+EPYC+7513+32-Core,2 x AMD EPYC 7513 32-Core,89th,4,114
10,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,89th,18,114 +/- 5
11,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,89th,8,115 +/- 7
12,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,88th,9,116 +/- 3
13,/s/2+x+AMD+EPYC+7F52+16-Core,2 x AMD EPYC 7F52 16-Core,86th,4,118 +/- 1
14,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,82nd,6,121
15,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,82nd,13,121 +/- 7
16,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,81st,11,122 +/- 1
17,/s/2+x+AMD+EPYC+7763+64-Core,2 x AMD EPYC 7763 64-Core,79th,15,123 +/- 1
18,/s/2+x+AMD+EPYC+7F72+24-Core,2 x AMD EPYC 7F72 24-Core,76th,7,126 +/- 1
20,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,74th,9,128 +/- 4
21,/s/AMD+EPYC+73F3+16-Core,AMD EPYC 73F3 16-Core,74th,4,128 +/- 1
22,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,72nd,13,133 +/- 3
23,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,72nd,3,133
24,/s/Intel+Xeon+Gold+6258R,Intel Xeon Gold 6258R,69th,3,136
25,/s/AMD+EPYC+7542+32-Core,AMD EPYC 7542 32-Core,69th,4,136 +/- 1
26,/s/AMD+Ryzen+Threadripper+2990WX+32-Core,AMD Ryzen Threadripper 2990WX 32-Core,67th,3,137
27,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,67th,13,137 +/- 1
28,/s/2+x+AMD+EPYC+7742+64-Core,2 x AMD EPYC 7742 64-Core,65th,10,138 +/- 1
29,/s/AMD+EPYC+7502P+32-Core,AMD EPYC 7502P 32-Core,65th,5,138 +/- 1
30,/s/Intel+Xeon+Platinum+8280,Intel Xeon Platinum 8280,65th,3,138
31,/s/AMD+EPYC+7642+48-Core,AMD EPYC 7642 48-Core,65th,5,138
32,/s/AMD+EPYC+7402P+24-Core,AMD EPYC 7402P 24-Core,65th,5,138
33,/s/AMD+EPYC+7742+64-Core,AMD EPYC 7742 64-Core,63rd,5,139 +/- 1
34,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,59th,10,140 +/- 1
35,/s/AMD+EPYC+7F52+16-Core,AMD EPYC 7F52 16-Core,59th,8,140 +/- 1
36,/s/AMD+EPYC+7662+64-Core,AMD EPYC 7662 64-Core,59th,5,140 +/- 1
37,/s/AMD+EPYC+7552+48-Core,AMD EPYC 7552 48-Core,58th,5,141 +/- 1
38,/s/AMD+EPYC+7532+32-Core,AMD EPYC 7532 32-Core,56th,5,143 +/- 1
39,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,56th,7,143 +/- 1
40,/s/AMD+Ryzen+Threadripper+2970WX+24-Core,AMD Ryzen Threadripper 2970WX 24-Core,55th,3,146 +/- 1
41,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,55th,4,148 +/- 1
42,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,53rd,5,156 +/- 1
43,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,52nd,4,159 +/- 1
44,/s/Ampere+Altra+ARMv8+Neoverse-N1+160-Core,Ampere Altra ARMv8 Neoverse-N1 160-Core,52nd,8,160 +/- 2
46,/s/AMD+Ryzen+Threadripper+2950X+16-Core,AMD Ryzen Threadripper 2950X 16-Core,50th,6,163 +/- 13
47,/s/AMD+EPYC+7302P+16-Core,AMD EPYC 7302P 16-Core,49th,5,165 +/- 1
48,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,49th,3,166 +/- 1
49,/s/2+x+AMD+EPYC+7601+32-Core,2 x AMD EPYC 7601 32-Core,49th,7,167 +/- 10
50,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,48th,7,170 +/- 1
51,/s/AMD+EPYC+7282+16-Core,AMD EPYC 7282 16-Core,47th,5,174 +/- 1
52,/s/Intel+Xeon+Gold+6226R,Intel Xeon Gold 6226R,46th,3,179 +/- 2
53,/s/Intel+Xeon+Gold+5220R,Intel Xeon Gold 5220R,46th,3,181 +/- 2
54,/s/AMD+EPYC+7551+32-Core,AMD EPYC 7551 32-Core,45th,3,187 +/- 1
55,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,43rd,8,192 +/- 5
56,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,43rd,10,193 +/- 2
57,/s/AMD+EPYC+7272+12-Core,AMD EPYC 7272 12-Core,41st,5,200 +/- 1
58,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,40th,3,207
59,/s/AMD+Ryzen+9+5900HX,AMD Ryzen 9 5900HX,40th,4,208
60,/s/Intel+Xeon+Silver+4216,Intel Xeon Silver 4216,39th,3,211 +/- 1
61,/s/AMD+Ryzen+7+3700X+8-Core,AMD Ryzen 7 3700X 8-Core,38th,3,227
62,/s/AMD+EPYC+7F32+8-Core,AMD EPYC 7F32 8-Core,37th,5,228 +/- 1
63,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,37th,3,250 +/- 1
64,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,36th,7,254 +/- 3
65,/s/Intel+Core+i5-11600K,Intel Core i5-11600K,36th,3,257
66,/s/AMD+Ryzen+7+1800X+Eight-Core,AMD Ryzen 7 1800X Eight-Core,35th,3,265 +/- 1
67,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,35th,3,270
68,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,34th,4,275 +/- 2
69,/s/AMD+EPYC+7232P+8-Core,AMD EPYC 7232P 8-Core,33rd,5,278 +/- 1
70,/s/AMD+Ryzen+7+2700+Eight-Core,AMD Ryzen 7 2700 Eight-Core,32nd,3,292
71,/s/AMD+Ryzen+5+3600XT+6-Core,AMD Ryzen 5 3600XT 6-Core,32nd,3,292
72,/s/Intel+Core+i5-10600K,Intel Core i5-10600K,31st,6,297 +/- 4
73,/s/Intel+Xeon+E5-2687W+v3,Intel Xeon E5-2687W v3,31st,3,299
74,/s/AMD+Ryzen+7+1700+Eight-Core,AMD Ryzen 7 1700 Eight-Core,30th,3,311 +/- 1
75,/s/Intel+Core+i7-8086K,Intel Core i7-8086K,30th,4,325
