,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+Intel+Xeon+E5-2630+v4,2 x Intel Xeon E5-2630 v4,100th,4,3.2 +/- 0.1
1,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,99th,5,3.9
2,/s/AMD+Ryzen+5+1600+Six-Core,AMD Ryzen 5 1600 Six-Core,95th,3,6.4 +/- 0.1
3,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,91st,38,7.2 +/- 0.1
4,/s/Intel+Xeon+Silver+4108,Intel Xeon Silver 4108,82nd,43,7.4 +/- 0.1
5,/s/Intel+Core+i7-3960X,Intel Core i7-3960X,78th,9,8.5 +/- 0.1
7,/s/Intel+Xeon+E3-1245+v5,Intel Xeon E3-1245 v5,68th,52,9.0 +/- 0.1
8,/s/Intel+Xeon+E3-1260L+v5,Intel Xeon E3-1260L v5,60th,61,9.4 +/- 0.2
10,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,50th,29,10.0 +/- 0.3
11,/s/Intel+Xeon+E3-1231+v3,Intel Xeon E3-1231 v3,50th,4,10.0 +/- 1.1
12,/s/Intel+Xeon+E5-2609+v4,Intel Xeon E5-2609 v4,41st,39,12.3 +/- 0.2
13,/s/Intel+Core+i5-6500,Intel Core i5-6500,31st,52,12.8 +/- 0.2
15,/s/Intel+Xeon+E3-1235L+v5,Intel Xeon E3-1235L v5,21st,56,15.4 +/- 0.2
16,/s/Intel+Pentium+G4400,Intel Pentium G4400,7th,37,25.3 +/- 0.3
