,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,98th,48,35 +/- 1
1,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,96th,22,35
2,/s/AMD+Ryzen+7+5800X+8-Core,AMD Ryzen 7 5800X 8-Core,94th,9,36
3,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,93rd,10,38 +/- 1
4,/s/AMD+Ryzen+5+5600X+6-Core,AMD Ryzen 5 5600X 6-Core,93rd,11,38
5,/s/AMD+Ryzen+9+5900HX,AMD Ryzen 9 5900HX,90th,13,39 +/- 1
6,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,90th,23,39 +/- 1
7,/s/AMD+Ryzen+7+5700G,AMD Ryzen 7 5700G,89th,3,39
8,/s/AMD+Ryzen+5+5600G,AMD Ryzen 5 5600G,88th,6,41 +/- 1
9,/s/AMD+EPYC+75F3+32-Core,AMD EPYC 75F3 32-Core,88th,6,41
10,/s/AMD+EPYC+74F3+24-Core,AMD EPYC 74F3 24-Core,88th,4,41
11,/s/Intel+Core+i5-11600K,Intel Core i5-11600K,87th,3,41
12,/s/AMD+EPYC+73F3+16-Core,AMD EPYC 73F3 16-Core,86th,4,42 +/- 1
13,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,86th,16,42 +/- 1
14,/s/Intel+Core+i9-9900KS,Intel Core i9-9900KS,84th,4,43 +/- 1
15,/s/AMD+Ryzen+Threadripper+3960X+24-Core,AMD Ryzen Threadripper 3960X 24-Core,84th,11,43
16,/s/AMD+Ryzen+9+3950X+16-Core,AMD Ryzen 9 3950X 16-Core,82nd,4,44
17,/s/Intel+Core+i9-9900K,Intel Core i9-9900K,81st,9,44
18,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,79th,3,45 +/- 1
19,/s/Intel+Xeon+E-2288G,Intel Xeon E-2288G,78th,5,45 +/- 1
20,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,78th,13,45 +/- 1
21,/s/AMD+Ryzen+7+3800XT+8-Core,AMD Ryzen 7 3800XT 8-Core,78th,8,46 +/- 1
22,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,77th,13,46 +/- 1
24,/s/AMD+Ryzen+5+3600XT+6-Core,AMD Ryzen 5 3600XT 6-Core,75th,4,47 +/- 1
25,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,74th,6,49 +/- 1
26,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,74th,3,49 +/- 1
27,/s/2+x+AMD+EPYC+73F3+16-Core,2 x AMD EPYC 73F3 16-Core,73rd,4,50
28,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,73rd,6,50 +/- 1
29,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,72nd,4,50
30,/s/AMD+EPYC+7F72+24-Core,AMD EPYC 7F72 24-Core,72nd,13,50
31,/s/AMD+Ryzen+7+2700X+Eight-Core,AMD Ryzen 7 2700X Eight-Core,71st,4,51
32,/s/AMD+EPYC+7F52+16-Core,AMD EPYC 7F52 16-Core,71st,17,51
