,idproc,descproc,percentile,nbproc,perf
0,/s/261GB+INTEL+SSDPED1D280GA,261GB INTEL SSDPED1D280GA,99th,3,339 +/- 7
1,/s/238GB+TOSHIBA-RD400,238GB TOSHIBA-RD400,90th,5,216 +/- 31
2,/s/112GB+INTEL+SSDSC2BW120A4,112GB INTEL SSDSC2BW120A4,77th,15,158 +/- 20
4,/s/489GB+Crucial_CT525MX300SSD1,489GB Crucial_CT525MX300SSD1,65th,3,146 +/- 5
5,/s/224GB+PNY+CS900+240GB+SSD,224GB PNY CS900 240GB SSD,55th,10,133 +/- 13
6,/s/466GB+Samsung+SSD+860+EVO,466GB Samsung SSD 860 EVO,52nd,5,127 +/- 13
8,/s/14GB+SanDisk+Ultra+USB+3.0+USB,14GB SanDisk Ultra USB 3.0 USB,41st,5,111 +/- 5
9,/s/233GB+Samsung+SSD+850+EVO,233GB Samsung SSD 850 EVO,28th,10,53 +/- 3
11,/s/60GB+ADATA+SP600,60GB ADATA SP600,22nd,4,50 +/- 3
12,/s/112GB+ADATA+SU700,112GB ADATA SU700,14th,7,45 +/- 2
13,/s/233GB+Samsung+SSD+970+EVO,233GB Samsung SSD 970 EVO,5th,5,4
