,idproc,descproc,percentile,nbproc,perf
0,/s/AMD+Ryzen+Threadripper+3970X+32-Core,AMD Ryzen Threadripper 3970X 32-Core,99th,5,29.4 +/- 0.5
1,/s/Intel+Core+i9-7980XE,Intel Core i9-7980XE,96th,6,25.2 +/- 2.1
2,/s/2+x+Intel+Xeon+Gold+6138,2 x Intel Xeon Gold 6138,94th,5,22.1 +/- 2.8
3,/s/AMD+Ryzen+9+5950X+16-Core,AMD Ryzen 9 5950X 16-Core,92nd,3,20.9 +/- 0.3
4,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,90th,4,18.5 +/- 0.1
5,/s/Intel+Core+i7-7900X,Intel Core i7-7900X,87th,5,16.5 +/- 1.2
6,/s/Intel+Xeon+E5-2687W+v3,Intel Xeon E5-2687W v3,85th,5,12.8 +/- 0.9
7,/s/Intel+Xeon+E5-1680+v3,Intel Xeon E5-1680 v3,82nd,10,12.0 +/- 0.8
8,/s/Intel+Core+i7-5960X,Intel Core i7-5960X,76th,20,11.2 +/- 0.7
10,/s/Intel+Core+i7-8700K,Intel Core i7-8700K,74th,5,10.9 +/- 0.2
11,/s/AMD+Ryzen+Threadripper+2990WX+32-Core,AMD Ryzen Threadripper 2990WX 32-Core,71st,5,9.4 +/- 0.1
12,/s/Intel+Core+i5-8400,Intel Core i5-8400,69th,5,9.1 +/- 0.3
13,/s/Intel+Core+i7-5775C,Intel Core i7-5775C,67th,4,8.7 +/- 0.1
14,/s/Intel+Core+i7-7700K,Intel Core i7-7700K,65th,5,7.9 +/- 0.1
15,/s/AMD+Ryzen+7+1700+Eight-Core,AMD Ryzen 7 1700 Eight-Core,64th,3,7.7 +/- 0.1
16,/s/Intel+Xeon+E3-1275+v6,Intel Xeon E3-1275 v6,61st,5,7.1 +/- 0.2
17,/s/Intel+Core+i7-3960X,Intel Core i7-3960X,60th,5,6.8 +/- 0.4
18,/s/Intel+Core+i7-4960X,Intel Core i7-4960X,58th,7,6.5 +/- 0.2
19,/s/Intel+Core+i3-8100,Intel Core i3-8100,57th,4,6.5
20,/s/Intel+Xeon+E3-1280+v5,Intel Xeon E3-1280 v5,55th,5,6.4 +/- 0.1
21,/s/Intel+Core+i5-6500,Intel Core i5-6500,53rd,4,5.9
23,/s/Intel+Core+i7+990X,Intel Core i7 990X,50th,5,5.5 +/- 0.2
24,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,49th,7,5.3 +/- 0.1
25,/s/Intel+Core+i5-4670,Intel Core i5-4670,44th,6,4.6
26,/s/Intel+Core+i7-2700K,Intel Core i7-2700K,43rd,12,4.6 +/- 0.1
27,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,42nd,4,4.6
28,/s/Intel+Core+i5-8265U,Intel Core i5-8265U,39th,3,3.9
29,/s/Intel+Core+i7-3770K,Intel Core i7-3770K,37th,9,3.8 +/- 0.1
30,/s/Intel+Core+i7-4558U,Intel Core i7-4558U,31st,6,3.1
31,/s/Intel+Core+i7-5600U,Intel Core i7-5600U,29th,10,3.0 +/- 0.3
32,/s/Intel+Core+i5-8250U,Intel Core i5-8250U,29th,5,3.0 +/- 0.1
34,/s/Intel+Core+i3-2120,Intel Core i3-2120,24th,15,2.9 +/- 0.1
35,/s/Intel+Core+i5-5300U,Intel Core i5-5300U,22nd,10,2.8 +/- 0.1
36,/s/Intel+Core+i7+720Q,Intel Core i7 720Q,16th,10,2.6 +/- 0.1
37,/s/Intel+Core+i3-4130,Intel Core i3-4130,15th,9,2.5 +/- 0.3
38,/s/Intel+Core+i5-2520M,Intel Core i5-2520M,7th,15,2.2 +/- 0.1
39,/s/Intel+Celeron+N3050,Intel Celeron N3050,3rd,4,0.6
